Division NO,Member Name,No.of days Members signed the Register,No.of days Members not signed the Register
499,Shri  Sohan  Potai,11,12
498,Shri  Hansraj Gangaram  Ahir,17,6
497,Shri  Rajen  Gohain,10,13
496,Shri  Raosaheb  Dadarao  Danve,11,12
495,Shri  Anurag Singh  Thakur,21,2
494,Shri  Rakesh  Singh,16,7
493,Shri  Ganesh  Singh,12,11
492,Shri    Virendra Kumar,22,1
491,Shri  Ashok  Argal,21,2
490,Shri  Lalji  Tandon,18,5
489,Shri  D.B. Chandre  Gowda,12,11
488,Shri  G.S.  Basavaraj,10,13
487,Shri  Mansukhbhai Dhanjibhai  Vasava,19,4
486,Shri  Ram Singh  Kaswan,23,0
485,Shri  Ramakant  Yadav,11,12
484,Shri  Anant Kumar  Hegde,14,9
483,Shri  Dilip Kumar Mansukhlal  Gandhi,18,5
482,Shri  Nikhil Kumar  Choudhary,13,10
481,Shri  Shripad Yesso  Naik,18,5
480,Shri  Radha Mohan  Singh,16,7
479,Shri  Vishnu Deo  Sai,10,13
478,Smt.  Yashodhara Raje  Scindia,19,4
478,Shri  D.V. Sadananda  Gowda,14,9
477,Shri  Narendra Singh  Tomar,12,11
476,Shri  Rajendrasinh  Rana,8,15
475,Shri  Yogi  Adityanath,12,11
474,Smt.  Sumitra  Mahajan,19,4
473,Shri  Kailash  Joshi,19,4
472,Shri  Arjun  Munda,1,22
471,Shri  Harin  Pathak,16,7
470,Smt.  Bijoya  Chakravarty,19,4
469,Shri  Dilip Singh  Judev,14,9
468,Shri  Kabindra  Purkayastha,23,0
467,Smt.  Maneka  Gandhi,18,5
466,Shri  Jaswant  Singh,20,3
465,Shri    Ananth Kumar,19,4
464,Shri  Ramesh  Bais,22,1
463,Shri  Yashwant  Sinha,22,1
462,Shri  Hukamdeo Narayan  Yadav,18,5
461,Shri  Syed Shahnawaz  Hussain,16,7
460,Shri  Shatrughan  Sinha,15,8
457,Shri  Lal Krishna  Advani,20,3
456,Shri   Gopinathrao  Pandurang   Munde,13,10
455,Shri  Rajnath  Singh,17,6
454,Dr.  Murli Manohar  Joshi,20,3
453,Shri  S.  Pakkirappa,12,11
452,Shri  Ramesh  Vishwanath   Katti,12,11
451,Dr.  Rajan  Sushant,21,2
450,Shri  Udasi Shivkumar  Chanabasappa,19,4
449,Shri  Shivarama  Gouda,18,5
448,Shri  Virender  Kashyap,21,2
447,Shri  Joseph  Toppo,22,1
446,Shri  Sher Singh  Ghubaya,16,7
445,Shri  Maheshwar  Hazari,19,4
444,Shri  Kaushalendra  Kumar,21,2
443,Smt.    Putul Kumari,11,1
442,Shri  Laxman  Tudu,7,16
441,Shri  Sidhant  Mohapatra,8,15
440,Shri   Raju Shetti,14,9
439,Shri    Varun  Gandhi,10,13
438,Shri  Rajendra  Agarwal,22,1
437,Prof.(Dr.)  Ram Shankar  Katheria,15,8
436,Shri  Kamlesh  Paswan,19,4
435,Shri   Bhausaheb  Rajaram   Wakchaure,14,9
434,Shri  Bhudeo  Choudhary,22,1
433,Smt.  Meena  Singh,11,12
432,Adv.   Ganeshrao  Nagorao Dudhgaonkar,23,0
431,Shri  Gajanan D.  Babar,15,8
429,Shri  Kristappa  Nimmala,23,0
428,Shri  Kalikesh N. Singh  Deo,13,10
427,Shri  Yashbant N.S.  Laguri,14,9
426,Kum.  Saroj  Pandey,11,12
425,Smt.  Darshana  Jardosh,20,3
424,Shri  Purnmasi  Ram,15,8
423,Shri  Mahabali  Singh,13,10
422,Shri  Subhash Bapurao  Wankhede,16,7
421,Shri  Nityananda  Pradhan,16,7
420,Dr.  Kirodi  Lal  Meena,21,2
419,Shri  Naramalli  Sivaprasad,13,10
418,Shri  Modugula Venugopala  Reddy,4,19
417,Shri  Hari  Manjhi,15,8
416,Shri  Jeetendra Singh  Bundela,19,4
415,Shri  P. C.  Mohan,17,6
414,Smt.  Aswamedh  Devi,19,4
413,Shri  Arjun  Roy,20,3
412,Shri   Prataprao  Ganpatrao Jadhav,7,16
411,Shri  A.  Ganeshamurthi,21,2
410,Shri  Rudramadhab  Ray,9,14
409,Shri  Jayaram  Pangi,13,10
408,Shri  K. Narayana  Rao,13,10
407,Shri  Nripendra Nath  Roy,13,10
406,Smt.    Rama Devi,20,3
405,Shri  Ramen  Deka,17,6
404,Shri  Angadi Suresh  Channabasappa,16,7
403,Shri  Baidyanath Prasad  Mahto,15,8
402,Shri  Vishwa Mohan  Kumar,16,7
400,Shri  Baijayant  Panda,7,16
3,Smt.  Sonia  Gandhi,6,17
39,Shri  Manish  Tewari,23,0
399,Shri  Pinaki  Misra,6,17
398,Ms.  M. Vijaya  Shanthi,1,22
397,Shri  Ramesh  Rathod,10,13
396,Shri  Narahari  Mahato,17,6
394,Shri  Sushil Kumar  Singh,9,14
393,Shri  Jagdish  Sharma,11,12
392,Shri  Anand Prakash  Paranjpe,11,12
391,Shri  Mohan  Jena,13,10
390,Smt.  Paramjit Kaur  Gulshan,9,14
38,Shri  Jitender  Singh,16,7
389,Smt.  Harsimrat Kaur  Badal,20,3
388,Shri  Nama Nageswara  Rao,21,2
387,Dr.  Monazir  Hassan,13,10
386,Capt.(Retd.)  Jainarayan Prasad  Nishad,5,18
385,Dr.  Ranjan Prasad  Yadav,14,9
384,Shri  Shivaji  Adhalrao Patil,10,13
383,Shri  Tathagata  Satpathy,13,10
382,Smt.  Jaya Prada  Nahata,2,21
381,Shri  Inder Singh  Namdhari,23,0
380,Shri   Mangani Lal  Mandal,23,0
379,Shri  Dinesh Chandra  Yadav,19,4
378,Smt.  Bhavana  Gawali,20,3
377,Shri  Prasanna  Kumar Patasani,19,4
376,Dr.  Rattan Singh  Ajnala,20,3
375,Shri  K. Chandrasekhar  Rao,1,22
374,Shri  Rajiv Ranjan  Singh  @ Lalan Singh,21,2
373,Shri  Anandrao  Adsul,15,8
372,Shri  Chandrakant  Khaire,18,5
371,Shri  P.  Karunakaran,14,9
370,Shri  Bhartruhari  Mahtab,21,2
369,Shri  Ram Sundar  Das,14,9
368,Shri  Anant Gangaram  Geete,16,7
367,Shri  Arjun Charan  Sethi,19,4
366,Shri  Sharad  Yadav,16,7
365,Shri  Basudeb  Acharia,21,2
364,Dr.  Tarun  Mondal,14,9
363,Shri  Mekapati Rajamohan  Reddy,13,10
362,Shri  Prasanta Kumar  Majumdar,16,7
361,Shri  Sakti  Mohan   Malik,22,1
360,Shri  Bibhu Prasad  Tarai,20,3
359,Shri  Kadir  Rana,8,15
358,Shri  Surendra Singh  Nagar,17,6
357,Shri  Kapil Muni  Karwariya,22,1
356,Shri  Radhey Mohan  Singh,11,12
355,Shri  Yashvir  Singh,20,3
354,Shri    Mithlesh Kumar,22,1
353,Shri  Kabir  Suman,5,18
352,Dr.  Ratna  De (Nag),16,7
351,Dr.  Padamsinha  Bajirao  Patil,16,7
350,Shri  P.  Kumar,23,0
349,Shri  P.  Lingam,21,2
348,Shri  M. B.  Rajesh,22,1
347,Shri  P. K.  Biju,21,2
346,Shri  Ramashankar  Rajbhar,21,2
345,Shri  Deoraj Singh  Patel,17,6
344,Shri  Arvind Kumar  Chaudhary,23,0
343,Shri  Kamlesh  Balmiki,16,7
342,Shri  Ghanshyam  Anuragi,21,2
341,Shri  Pakauri  Lal,7,16
340,Dr.  Sucharu Ranjan  Haldar,22,1
339,Shri  Tapas  Paul,8,15
338,Smt.  Satabdi  Roy,8,15
337,Shri  C.  Sivasami,15,8
336,Shri  Mahendra Kumar  Roy,18,5
335,Sk.   Saidul  Haque,23,0
334,Shri  Gorakh Prasad  Jaiswal,14,9
333,Shri  Rakesh  Pandey,12,11
332,Shri  Bal Kumar  Patel,14,9
331,Smt.  Usha  Verma,21,2
330,Shri    Suvendu   Adhikari,2,21
329,Shri  Ambica  Banerjee,4,19
328,Shri  K.  Sugumar,22,1
327,Shri  Pulin Bihari  Baske,22,1
326,Dr.  Anup Kumar  Saha,23,0
325,Smt.  Susmita  Bauri,23,0
324,Shri  Dhananjay  Singh,8,15
323,Shri    Gorakhnath  Pandey,22,1
322,Shri  Neeraj  Shekhar,20,3
321,Shri  Dharmendra  Yadav,10,13
320,Shri  Premdas  Katheria,21,2
319,Shri  Gobinda Chandra  Naskar,17,6
318,Shri  Dinesh  Trivedi,15,8
317,Shri  M.  Anandan,23,0
316,Shri  Manohar  Tirkey,11,12
315,Adv.  A.  Sampath,17,6
314,Shri  P.R.  Natarajan,21,2
313,Smt.  Kaisar  Jahan,9,14
312,Smt.  Raj Kumari  Chauhan,22,1
311,Shri  Rakesh  Sachan,16,7
310,Shri    Ramkishun,17,6
30,Smt.  Chandresh  Kumari,11,12
309,Shri  S.K. Nurul  Islam,8,15
307,Shri  Madhu  Koda,1,22
306,Shri  C.  Rajendran,19,4
306,Shri    Bhajan Lal,4,19
305,Shri  P.  Venugopal,22,1
304,Shri  Bansagopal  Chowdhury,10,13
303,Shri  Prabodh  Panda,20,3
302,Smt. Tabassum  Hasan,13,10
301,Smt.  Seema  Upadhyay,18,5
300,Smt.  Sushila  Saroj,21,2
29,Shri  Harish  Rawat,19,4
299,Shri  R.K. Singh  Patel,13,10
298,Shri  O. S.  Manian,14,9
297,Shri  Khagen  Das,10,13
296,Dr.  Ram Chandra  Dome,18,5
295,Shri  Vijay Bahadur  Singh,15,8
294,Shri  Jagdish Singh  Rana,15,8
293,Shri  Tufani  Saroj,16,7
292,Shri  Brij Bhushan Sharan  Singh,14,9
291,Shri  Kalyan  Singh,4,19
290,Shri  S.  Semmalai,21,2
289,Shri  Baju Ban  Riyan,21,2
288,Dr.  Shafiqur Rahman  Barq,23,0
287,Shri  Ashok Kumar  Rawat,9,14
286,Shri  Akhilesh  Yadav,8,15
285,Dr.  M.  Thambidurai,23,0
284,Shri  Bhisma  Shankar Alias Kushal Tiwari,10,13
283,Shri  Shailendra  Kumar,23,0
280,Shri  Gurudas  Das Gupta,19,4
279,Dr.    Bali Ram,23,0
278,Kunwar  Rewati Raman  Singh,22,1
277,Shri  H.D.  Devegowda,19,4
276,Shri  Mulayam Singh  Yadav,21,2
275,Shri  C. L.  Ruala,23,0
274,Shri  Sanjay  Bhoi,15,8
273,Shri  Hemanand  Biswal,20,3
272,Shri  Amarnath  Pradhan,16,7
271,Shri  Pradeep  Majhi,15,8
270,Shri  Thangso  Baite,22,1
269,Dr.  Nilesh N.  Rane,8,15
268,Shri  Jaywant  Gangaram   Awale,21,2
267,Shri   Suresh  Kashinath   Taware,21,2
266,Shri  Marotrao  Sainuji   Kowase,18,5
265,Shri  Premchand  Guddu,18,5
264,Shri  Uday Pratap  Singh,17,6
263,Shri  S. R.  Jeyadurai,7,16
262,Smt.  J. Helen Davidson,16,7
261,Shri  Uma Shanaker  Singh,15,8
260,Shri  Jagada Nand  Singh,16,7
25,Shri  Beni Prasad  Verma,23,0
259,Shri   Baliram  Jadhav,19,4
258,Shri  C. M.  Chang,23,0
257,Shri  Prem Das  Rai,21,2
256,Shri  Thol Thirumaavalavan,10,13
255,Shri  N. Cheluvaraya Swamy,13,10
254,Shri  Kameshwar  Baitha,11,12
253,Shri  Jose K.  Mani,21,2
252,Shri  Narayan Singh  Amlabe,22,1
251,Shri  Sanjay Dina  Patil,19,4
250,Shri    Sivakumar @  Ritheesh,7,16
24,Shri  V. Kishore Chandra S.  Deo,21,2
249,Shri  Om Prakash  Yadav,14,9
248,Shri  N.  Peethambarakurup,19,4
247,Shri  Anto  Antony,23,0
246,Shri  M. I.  Shanavas,18,5
245,Adv.  P. T.  Thomas,23,0
244,Shri  Partap Singh  Bajwa,20,3
243,Shri  Mohinder Singh  Kaypee,20,3
242,Shri  Charles  Dias,23,0
240,Shri  Zafar Ali  Naqvi,7,16
239,Shri  Bharat Ram  Meghwal,18,5
238,Shri  Raja Ram  Pal,22,1
237,Shri  Ratan  Singh,23,0
236,Shri  Khiladi Lal  Bairwa,18,5
235,Shri  Badri Ram  Jakhar,17,6
234,Shri  Harish  Choudhary,18,5
233,Shri  Raghuvir Singh  Meena,16,7
232,Shri  Gopal  Singh  Shekhawat,14,9
231,Shri  E. T. Muhammed  Basheer,17,6
230,Shri  Ijyaraj  Singh,22,1
229,Shri  Mahesh  Joshi,22,1
228,Shri  Sharief Ud Din  Shariq,20,3
227,Shri  S. S.  Ramasubbu,23,0
226,Shri  Pradeep  Tamta,19,4
225,Shri  Praveen Singh  Aron,7,16
224,Shri  Harsh  Vardhan,18,5
223,"Dr.  Vinay Kumar  Panday ""Vinnu""",17,6
222,Shri  Kamal  Kishor   Commando,21,2
221,Shri  P.L.  Punia,23,0
220,Shri  Jitendra  Singh Malik,15,8
219,Shri  Rajaiah  Siricilla,21,2
218,Shri  K. R. G.  Reddy,16,7
217,Dr.  Kakoli Ghosh  Dastidar,19,4
215,Shri  H.D.  Kumaraswamy,10,13
214,Shri  N.Dharam  Singh,15,8
213,Shri  Jagdambika  Pal,23,0
212,Shri  Mirza Mehboob  Beg,12,11
211,Shri  Babu Lal  Marandi,4,19
210,Shri  Badruddin  Ajmal,10,13
208,Shri  Somendranath  Mitra,14,9
207,Shri    Abdul Rahman,3,20
206,Shri  R.  Thamaraiselvan,17,6
205,Shri  Sadashivrao Dadoba  Mandlik,7,16
204,Shri  Hassan  Khan,21,2
203,Dr.  Raghuvansh Prasad  Singh,23,0
202,Shri  Sansuma Khunggur  Bwiswmuthiary,10,13
201,Shri  Asaduddin  Owaisi,15,8
200,Dr.  Sanjeev Ganesh  Naik,21,2
199,Shri    Adhi Sankar,1,22
198,Shri  E.G.  Sugavanam,13,10
197,Shri  A.K.S.  Vijayan,12,11
196,Shri  Kalyan  Banerjee,11,12
195,Shri  D.  Venugopal,15,8
194,Shri  Sameer  Bhujbal,13,10
193,Shri   Udayanraje  Bhonsle,8,15
192,Smt.  Supriya  Sule,19,4
191,Shri  Sudip  Bandyopadhyay,21,2
190,Shri  T.K.S.  Elangovan,23,0
188,Shri    Lalu Prasad,10,13
187,Shri  Dara Singh  Chauhan,19,4
186,Shri  K. P.  Dhanapalan,23,0
185,Shri  M. K.  Raghavan,18,5
183,Shri  K.  Sudhakaran,12,11
182,Shri  R.  Dhruvanarayana,15,8
181,Shri  Adagooru  Vishwanath,20,3
180,Shri  Jagdish  Thakor,12,11
179,Shri  Mukeshkumar  Bheiravdanji  Gadhvi,19,4
178,Shri  Suresh Kumar  Shetkar,19,4
177,Dr.  G.  Vivekanand,18,5
176,Shri   Vitthalbhai  Harnsrajbhai   Radadiya,6,17
175,Shri  Kuvarjibhai Mohanbhai  Bavalia,15,8
174,Shri  Basori Singh  Masram,17,6
173,Shri  S.  Alagiri,13,10
172,Shri  Abdul Mannan  Hossain,13,10
171,Shri  Sajjan Singh  Verma,21,2
170,Shri  Prabhakar  Ponnam,22,1
16,Shri  A.  Raja,1,22
169,Shri  Manicka  Tagore,15,8
168,Shri  Devendra  Nagpal,5,18
167,Dr.  Jyoti  Mirdha,17,6
166,Smt.  Meenakshi  Natrajan,20,3
165,Smt.  Annu  Tandon,19,4
164,Smt.  Sarika  D.S. Baghel,23,0
163,Ms.  Mausam  Noor,20,3
162,Smt.  Rajesh Nandini  Singh,20,3
161,Dr.  Prabha Kishore  Taviad,23,0
160,Smt.  Shruti  Choudhry,16,7
158,Dr.  Nirmal  Khatri,22,1
157,Shri  M.  Krishnaswamy,20,3
156,Dr.  Thokchom  Meinya,22,1
155,Shri  Eknath  Gaikwad,21,2
154,Shri  Kishan V.  Patel,19,4
153,Shri    Bapiraju  Kanumuru,22,1
152,Smt.  Ingrid  Mcleod,18,5
151,Smt.    Botcha Jhansi Lakshmi,21,2
150,Shri    Lagadapati   Rajagopal,11,12
14,Shri  Paban Singh  Ghatowar,23,0
149,Shri  Vikrambhai Arjanbhai  Maadam    Ahir,12,11
148,Shri  Lalit  Mohan  Suklabaidya,22,1
147,Shri  S.P.Y.  Reddy,12,11
146,Shri  Aruna Kumar  Vundavalli,23,0
145,Shri  G.V.  Harsha Kumar,20,3
144,Shri  Gutha  Sukender Reddy,15,8
143,Shri  Anjan Kumar  Yadav. M,12,11
142,Shri  Sanjay Singh  Chauhan,12,11
141,Shri  Gajendra Singh  Rajukhedi,20,3
140,Sardar  Sukhdev  Singh    Libra,23,0
139,Smt.  Santosh  Chowdhary,15,8
138,Smt.  Priya  Dutt,7,16
137,Rajkumari  Ratna  Singh,14,9
135,Shri  Tarachand  Bhagora,20,3
134,Shri  Bhakta Charan  Das,22,1
133,Shri  Deepender Singh  Hooda,14,9
132,Shri  Bhaskarrao  Patil  Khatgaonkar,20,3
131,Shri  Jayant  Chaudhary,22,1
130,Dr.  Sanjay  Singh,9,14
129,Dr.  Arvind Kumar  Sharma,16,7
128,Shri  N.S.V.  Chitthan,21,2
127,Shri  Magunta Srinivasulu  Reddy,9,14
126,Shri  Francisco  Sardinha,21,2
124,Shri  Dip  Gogoi,14,9
123,Shri  Sanjay  Nirupam,19,4
121,Shri  Inderjit Singh  Rao,16,7
120,Dr.  Girija  Vyas,21,2
11,Shri  Ajit  Singh,18,5
119,Shri  P.C.  Chacko,21,2
118,Shri  Avtar Singh  Bhadana,6,17
117,Shri  Somabhai Gandalal Koli  Patel,18,5
116,Shri  A. Venkatarami  Reddy,18,5
115,Dr.  Manda  Jagannath,20,3
114,Shri  Raj  Babbar,17,6
113,Shri   Rayapati S.  Rao,17,6
112,Shri  Datta  Meghe,15,8
110,Shri  Jai Prakash  Agarwal,21,2
108,Dr.  Kavuri Samba Siva  Rao,18,5
107,Shri  Biren Singh  Engti,21,2
106,Dr.    Chinta Mohan,13,10
102,Shri  Suresh  Kalmadi,1,22
101,Shri  Manikrao Hodlya  Gavit,19,4
100,Shri  Vilasrao Baburao  Muttemwar,17,6
