Division NO,Member Name,No.of days Members signed the Register,No.of days Members not signed the Register
Division NO,Member Name,No. of days Members signed the Register,No. of days Members not signed the Register
99,Shri  T.R.  Baalu,19,4
98,Shri  Sheesh Ram  Ola,22,1
97,Shri  P.  Viswanathan,16,7
94,Shri  Takam  Sanjoy,13,10
93,Shri  Mohammad Asrarul  Haque,21,2
92,Shri  Ismail Hussain,20,3
91,Shri  Ramesh  Kumar,23,0
90,Shri  Mahabal  Mishra,21,2
88,Shri  Sabbam  Hari,16,7
85,Shri  Vijay Inder  Singla,17,6
84,Shri  K.C.  Singh Baba,3,20
83,Shri  Ashok  Tanwar,15,8
82,Shri  Hamdullah  Sayeed,23,0
81,Shri  Mohammed  Azharuddin,11,12
80,Chaudhary  Lal  Singh,16,7
79,Shri  Madan Lal  Sharma,15,8
78,Shri  Vincent H.  Pala,19,4
78,Shri  Vijay  Bahuguna,18,5
77,Shri  Satpal  Maharaj,18,5
76,Shri  Madhu Goud  Yaskhi,6,17
75,Shri  Naveen  Jindal,19,4
73,Shri  J.M.  Aaron Rashid,16,7
72,Shri  Sandeep  Dikshit,21,2
71,Shri  Lal Chand  Kataria,20,3
70,Dr.  Krupa Rani  Killi,21,2
69,Shri  P.  Balram  Naik,20,3
68,Smt.  Deepa  Dasmunsi,19,4
67,Shri  Ninong  Ering,18,5
66,Shri   Sarvey  Sathyanarayana,17,6
65,Smt.  Ranee  Narah,23,0
64,Shri  Adhir Ranjan  Chowdhury,15,8
63,Shri  A.H.   Khan  Choudhury,19,4
62,Shri  K. J.S.P.  Reddy,12,11
61,Shri  Rahul  Gandhi,4,19
60,Shri    Kodikunnil  Suresh,19,4
59,Shri  Milind  Deora,18,5
58,Dr.  Charan Das  Mahant,20,3
57,Shri  K. C.  Venugopal,17,6
55,Dr.  Shashi  Tharoor,17,6
550,Smt.  Jat Poonamben  Veljibhai,20,3
549,Shri  Murarilal  Singh,10,13
548,Shri  Nalin Kumar  Kateel,11,12
547,Shri    Naranbhai   Kachhadia,23,0
546,Shri  Natubhai Gomanbhai  Patel,5,18
545,Shri  Nishikant  Dubey,21,2
544,Smt.  Jayshreeben  Kanubhai    Patel,21,2
543,Ms.  J.  Shantha,16,7
542,Smt.  Jyoti  Dhurve,20,3
541,Smt.  Kamla Devi  Patle,15,8
540,Shri  Janardhana  Swamy,9,14
53,Shri  Pratik  Patil,13,10
539,Shri  K. D.  Deshmukh,12,11
538,Dr.  Kiritbhai  Premajibhai    Solanki,16,7
537,Shri  Lalubhai  B.  Patel,7,16
536,Shri  Madhusudan  Yadav,3,20
535,Shri  Chauhan  Mahendrasinh,23,0
534,Shri  Makhansingh  Solanki,18,5
533,Shri  Pradeep Kumar  Singh,7,16
532,Shri  Sonawane  Pratap Narayanrao,11,12
531,Shri  Shivraj  Bhaiya,20,3
530,Shri  A.T. Nana  Patil,14,9
52,Dr.  Tusharbhai   A.  Chaudhari,2,21
529,Shri  Arjun Ram  Meghwal,23,0
528,Shri  B. Y.  Raghavendra,11,12
527,Shri  Balkrishna Khanderao  Shukla,15,8
526,Shri  C. R.  Patil,21,2
525,Shri  Devji M.  Patel,11,12
524,Dr.  Bhola  Singh,22,1
523,Shri  Devidhan  Besra,6,17
521,Shri  Pashupati Nath  Singh,21,2
520,Shri  Prabhatsinh  Pratapsinh Chauhan,20,3
519,Dr.  Sanjay  Jaiswal,16,7
518,Shri  Sudarshan  Bhagat,21,2
517,Shri  Bhupendra  Singh,18,5
516,Shri  Chandulal Sahu  Chandu Bhaiya,16,7
515,Shri  Dinubhai  Boghabhal   Solanki,4,19
514,Shri  Govind Prasad  Mishra,18,5
513,Shri  Uday  Singh,14,9
512,Shri  Bishnu Pada  Ray,10,13
511,Shri  Dushyant  Singh,15,8
510,Shri   G.M.  Siddeswara,8,15
509,Shri  Haribhau  Jawale,13,10
508,Shri  Harischandra Deoram  Chavan,13,10
507,Shri  Navjot Singh  Sidhu,9,14
506,Shri  P.C.  Gaddigoudar,16,7
505,Shri  Sanjay  Dhotre,14,9
504,Shri  Prahlad  Joshi,16,7
503,Shri  Kirti  Azad,21,2
502,Shri  Ravindra Kumar  Pandey,17,6
501,Shri  Ramesh Chandappa  Jigajinagi,22,1
500,Shri  Ramsinhbhai Patalbhai  Rathwa,14,9
