Division NO,Member Name,No.of days Members signed the Register,No.of days Members not signed the Register
99,Shri  T.R.  Baalu,16,4
98,Shri  Sheesh Ram  Ola,20,0
97,Shri  P.  Viswanathan,20,0
95,Shri  Mahadev  Singh,18,2
94,Shri  Takam  Sanjoy,8,12
93,Shri  Mohammad Asrarul  Haque,20,0
92,Shri  Ismail Hussain,20,0
91,Shri  Ramesh  Kumar,20,0
90,Shri  Mahabal  Mishra,19,1
89,Shri  Ravneet  Singh,19,1
88,Shri  Sabbam  Hari,13,7
87,Shri  Abhijit  Mukherjee,19,1
86,Shri  K Jayaprakash  Hegde,17,3
85,Shri  Vijay Inder  Singla,17,3
84,Shri  K.C.  Singh Baba,10,10
83,Shri  Ashok  Tanwar,8,12
82,Shri  Hamdullah  Sayeed,13,7
81,Shri  Mohammed  Azharuddin,13,7
80,Chaudhary  Lal  Singh,16,4
79,Shri  Madan Lal  Sharma,17,3
78,Shri  Vincent H.  Pala,20,0
77,Shri  Satpal  Maharaj,17,3
76,Shri  Madhu Goud  Yaskhi,18,2
75,Shri  Naveen  Jindal,15,5
74,Shri  Arun  Yadav,4,16
73,Shri  J.M.  Aaron Rashid,18,2
72,Shri  Sandeep  Dikshit,17,3
71,Shri  Lal Chand  Kataria,1,19
70,Dr.  Krupa Rani  Killi,1,19
68,Smt.  Deepa  Dasmunsi,10,10
67,Shri  Ninong  Ering,19,1
65,Smt.  Ranee  Narah,15,5
63,Shri  A.H.   Khan  Choudhury,6,14
62,Shri  K. J.S.P.  Reddy,1,19
61,Shri  Rahul  Gandhi,5,15
55,Dr.  Shashi  Tharoor,5,15
550,Smt.  Jat Poonamben  Veljibhai,4,16
549,Shri  Murarilal  Singh,11,9
548,Shri  Nalin Kumar  Kateel,14,6
547,Shri    Naranbhai   Kachhadia,2,18
546,Shri  Natubhai Gomanbhai  Patel,5,15
545,Shri  Nishikant  Dubey,20,0
544,Smt.  Jayshreeben  Kanubhai    Patel,6,14
543,Ms.  J.  Shantha,11,9
542,Smt.  Jyoti  Dhurve,17,3
541,Smt.  Kamla Devi  Patle,13,7
540,Shri  Janardhana  Swamy,15,5
53,Shri  Pratik  Patil,12,8
539,Shri  K. D.  Deshmukh,2,18
538,Dr.  Kiritbhai  Premajibhai    Solanki,8,12
537,Shri  Lalubhai  B.  Patel,8,12
536,Shri  Madhusudan  Yadav,6,14
535,Shri  Chauhan  Mahendrasinh,12,8
534,Shri  Makhansingh  Solanki,19,1
533,Shri  Pradeep Kumar  Singh,16,4
532,Shri  Sonawane  Pratap Narayanrao,10,10
531,Shri  Shivraj  Bhaiya,20,0
530,Shri  A.T. Nana  Patil,15,5
529,Shri  Arjun Ram  Meghwal,20,0
528,Shri  B. Y.  Raghavendra,5,15
527,Shri  Balkrishna Khanderao  Shukla,3,17
526,Shri  C. R.  Patil,3,17
525,Shri  Devji M.  Patel,16,4
524,Dr.  Bhola  Singh,20,0
523,Shri  Devidhan  Besra,16,4
522,Shri  Dinesh  Kashyap,12,8
521,Shri  Pashupati Nath  Singh,19,1
520,Shri  Prabhatsinh  Pratapsinh Chauhan,6,14
519,Dr.  Sanjay  Jaiswal,17,3
518,Shri  Sudarshan  Bhagat,20,0
517,Shri  Bhupendra  Singh,15,5
