Division NO,Member Name,No.of days Members signed the Register,No.of days Members not signed the Register
Division NO,Member Name,No. of days Members signed the Register,No. of days Members not signed the Register
99,Shri  T.R.  Baalu,20,6
98,Shri  Sheesh Ram  Ola,25,1
97,Shri  P.  Viswanathan,25,1
94,Shri  Takam  Sanjoy,15,11
93,Shri  Mohammad Asrarul  Haque,24,2
92,Shri  Ismail Hussain,26,0
91,Shri  Ramesh  Kumar,26,0
90,Shri  Mahabal  Mishra,23,3
89,Shri  Ravneet  Singh,26,0
88,Shri  Sabbam  Hari,21,5
85,Shri  Vijay Inder  Singla,23,3
84,Shri  K.C.  Singh Baba,16,10
83,Shri  Ashok  Tanwar,23,3
82,Shri  Hamdullah  Sayeed,22,4
81,Shri  Mohammed  Azharuddin,20,6
80,Chaudhary  Lal  Singh,22,4
79,Shri  Madan Lal  Sharma,24,2
78,Shri  Vincent H.  Pala,19,7
78,Shri  Vijay  Bahuguna,26,0
77,Shri  Satpal  Maharaj,22,4
76,Shri  Madhu Goud  Yaskhi,3,23
75,Shri  Naveen  Jindal,24,2
74,Shri  Arun  Yadav,18,8
73,Shri  J.M.  Aaron Rashid,13,13
72,Shri  Sandeep  Dikshit,23,3
71,Shri  Lal Chand  Kataria,26,0
70,Dr.  Krupa Rani  Killi,23,3
69,Shri  P.  Balram  Naik,3,23
68,Smt.  Deepa  Dasmunsi,22,4
67,Shri  Ninong  Ering,22,4
66,Shri   Sarvey  Sathyanarayana,19,7
65,Smt.  Ranee  Narah,25,1
64,Shri  Adhir Ranjan  Chowdhury,22,4
63,Shri  A.H.   Khan  Choudhury,21,5
62,Shri  K. J.S.P.  Reddy,10,16
61,Shri  Rahul  Gandhi,7,19
60,Shri    Kodikunnil  Suresh,18,8
56,Shri  Pradeep  Jain   Aditya,1,25
55,Dr.  Shashi  Tharoor,23,3
550,Smt.  Jat Poonamben  Veljibhai,24,2
549,Shri  Murarilal  Singh,21,5
548,Shri  Nalin Kumar  Kateel,23,3
547,Shri    Naranbhai   Kachhadia,25,1
546,Shri  Natubhai Gomanbhai  Patel,4,22
545,Shri  Nishikant  Dubey,25,1
544,Smt.  Jayshreeben  Kanubhai    Patel,23,3
543,Ms.  J.  Shantha,23,3
542,Smt.  Jyoti  Dhurve,26,0
541,Smt.  Kamla Devi  Patle,20,6
540,Shri  Janardhana  Swamy,19,7
53,Shri  Pratik  Patil,21,5
539,Shri  K. D.  Deshmukh,23,3
538,Dr.  Kiritbhai  Premajibhai    Solanki,25,1
537,Shri  Lalubhai  B.  Patel,19,7
536,Shri  Madhusudan  Yadav,8,18
535,Shri  Chauhan  Mahendrasinh,26,0
534,Shri  Makhansingh  Solanki,25,1
533,Shri  Pradeep Kumar  Singh,24,2
532,Shri  Sonawane  Pratap Narayanrao,8,18
531,Shri  Shivraj  Bhaiya,26,0
530,Shri  A.T. Nana  Patil,24,2
529,Shri  Arjun Ram  Meghwal,26,0
528,Shri  B. Y.  Raghavendra,14,12
527,Shri  Balkrishna Khanderao  Shukla,25,1
526,Shri  C. R.  Patil,25,1
525,Shri  Devji M.  Patel,26,0
524,Dr.  Bhola  Singh,26,0
523,Shri  Devidhan  Besra,20,6
522,Shri  Dinesh  Kashyap,17,9
521,Shri  Pashupati Nath  Singh,25,1
520,Shri  Prabhatsinh  Pratapsinh Chauhan,26,0
519,Dr.  Sanjay  Jaiswal,25,1
518,Shri  Sudarshan  Bhagat,25,1
517,Shri  Bhupendra  Singh,23,3
516,Shri  Chandulal Sahu  Chandu Bhaiya,23,3
515,Shri  Dinubhai  Boghabhal   Solanki,7,19
514,Shri  Govind Prasad  Mishra,25,1
513,Shri  Uday  Singh,21,5
512,Shri  Bishnu Pada  Ray,25,1
511,Shri  Dushyant  Singh,23,3
510,Shri   G.M.  Siddeswara,12,14
509,Shri  Haribhau  Jawale,25,1
508,Shri  Harischandra Deoram  Chavan,24,2
507,Shri  Navjot Singh  Sidhu,9,17
506,Shri  P.C.  Gaddigoudar,22,4
505,Shri  Sanjay  Dhotre,21,5
504,Shri  Prahlad  Joshi,22,4
503,Shri  Kirti  Azad,26,0
502,Shri  Ravindra Kumar  Pandey,26,0
501,Shri  Ramesh Chandappa  Jigajinagi,21,5
500,Shri  Ramsinhbhai Patalbhai  Rathwa,23,3
499,Shri  Sohan  Potai,19,7
498,Shri  Hansraj Gangaram  Ahir,22,4
497,Shri  Rajen  Gohain,18,8
496,Shri  Raosaheb  Dadarao  Danve,23,3
495,Shri  Anurag Singh  Thakur,25,1
494,Shri  Rakesh  Singh,26,0
493,Shri  Ganesh  Singh,25,1
492,Shri    Virendra Kumar,26,0
491,Shri  Ashok  Argal,25,1
490,Shri  Lalji  Tandon,25,1
489,Shri  D.B. Chandre  Gowda,17,9
488,Shri  G.S.  Basavaraj,20,6
487,Shri  Mansukhbhai Dhanjibhai  Vasava,19,7
486,Shri  Ram Singh  Kaswan,23,3
485,Shri  Ramakant  Yadav,21,5
484,Shri  Anant Kumar  Hegde,25,1
483,Shri  Dilip Kumar Mansukhlal  Gandhi,20,6
482,Shri  Nikhil Kumar  Choudhary,26,0
481,Shri  Shripad Yesso  Naik,21,5
480,Shri  Radha Mohan  Singh,23,3
479,Shri  Vishnu Deo  Sai,13,13
478,Smt.  Yashodhara Raje  Scindia,24,2
478,Shri  D.V. Sadananda  Gowda,1,25
477,Shri  Narendra Singh  Tomar,19,7
476,Shri  Rajendrasinh  Rana,22,4
475,Shri  Yogi  Adityanath,17,9
474,Smt.  Sumitra  Mahajan,25,1
473,Shri  Kailash  Joshi,23,3
471,Shri  Harin  Pathak,26,0
470,Smt.  Bijoya  Chakravarty,24,2
469,Shri  Dilip Singh  Judev,25,1
468,Shri  Kabindra  Purkayastha,23,3
467,Smt.  Maneka  Gandhi,17,9
466,Shri  Jaswant  Singh,26,0
465,Shri    Ananth Kumar,22,4
464,Shri  Ramesh  Bais,26,0
463,Shri  Yashwant  Sinha,25,1
462,Shri  Hukamdeo Narayan  Yadav,26,0
461,Shri  Syed Shahnawaz  Hussain,26,0
460,Shri  Shatrughan  Sinha,24,2
457,Shri  Lal Krishna  Advani,26,0
456,Shri   Gopinathrao  Pandurang   Munde,23,3
455,Shri  Rajnath  Singh,20,6
454,Dr.  Murli Manohar  Joshi,22,4
453,Shri  S.  Pakkirappa,22,4
452,Shri  Ramesh  Vishwanath   Katti,21,5
451,Dr.  Rajan  Sushant,22,4
450,Shri  Udasi Shivkumar  Chanabasappa,25,1
449,Shri  Shivarama  Gouda,22,4
448,Shri  Virender  Kashyap,26,0
447,Shri  Joseph  Toppo,25,1
446,Shri  Sher Singh  Ghubaya,16,10
445,Shri  Maheshwar  Hazari,25,1
444,Shri  Kaushalendra  Kumar,25,1
443,Smt.    Putul Kumari,26,0
442,Shri  Laxman  Tudu,16,10
441,Shri  Sidhant  Mohapatra,22,4
440,Shri   Raju Shetti,16,10
439,Shri    Varun  Gandhi,23,3
438,Shri  Rajendra  Agarwal,26,0
437,Prof.(Dr.)  Ram Shankar  Katheria,21,5
436,Shri  Kamlesh  Paswan,26,0
435,Shri   Bhausaheb  Rajaram   Wakchaure,17,9
434,Shri  Bhudeo  Choudhary,20,6
433,Smt.  Meena  Singh,25,1
432,Adv.   Ganeshrao  Nagorao Dudhgaonkar,24,2
431,Shri  Gajanan D.  Babar,20,6
430,Shri  Y.S.Jagan Mohan  Reddy,5,21
429,Shri  Kristappa  Nimmala,25,1
428,Shri  Kalikesh N. Singh  Deo,19,7
427,Shri  Yashbant N.S.  Laguri,13,13
426,Kum.  Saroj  Pandey,21,5
425,Smt.  Darshana  Jardosh,24,2
424,Shri  Purnmasi  Ram,25,1
423,Shri  Mahabali  Singh,25,1
422,Shri  Subhash Bapurao  Wankhede,18,8
421,Shri  Nityananda  Pradhan,20,6
420,Dr.  Kirodi  Lal  Meena,26,0
419,Shri  Naramalli  Sivaprasad,16,10
418,Shri  Modugula Venugopala  Reddy,23,3
417,Shri  Hari  Manjhi,26,0
416,Shri  Jeetendra Singh  Bundela,24,2
415,Shri  P. C.  Mohan,19,7
414,Smt.  Aswamedh  Devi,24,2
413,Shri  Arjun  Roy,25,1
412,Shri   Prataprao  Ganpatrao Jadhav,19,7
411,Shri  A.  Ganeshamurthi,22,4
410,Shri  Rudramadhab  Ray,21,5
409,Shri  Jayaram  Pangi,20,6
408,Shri  K. Narayana  Rao,21,5
407,Shri  Nripendra Nath  Roy,25,1
406,Smt.    Rama Devi,25,1
405,Shri  Ramen  Deka,22,4
404,Shri  Angadi Suresh  Channabasappa,18,8
403,Shri  Baidyanath Prasad  Mahto,26,0
402,Shri  Vishwa Mohan  Kumar,23,3
400,Shri  Baijayant  Panda,15,11
39,Shri  Manish  Tewari,23,3
399,Shri  Pinaki  Misra,25,1
396,Shri  Narahari  Mahato,19,7
394,Shri  Sushil Kumar  Singh,24,2
393,Shri  Jagdish  Sharma,20,6
392,Shri  Anand Prakash  Paranjpe,14,12
391,Shri  Mohan  Jena,23,3
390,Smt.  Paramjit Kaur  Gulshan,24,2
38,Shri  Jitender  Singh,11,15
389,Smt.  Harsimrat Kaur  Badal,23,3
387,Dr.  Monazir  Hassan,22,4
386,Capt.(Retd.)  Jainarayan Prasad  Nishad,23,3
385,Dr.  Ranjan Prasad  Yadav,25,1
384,Shri  Shivaji  Adhalrao Patil,14,12
383,Shri  Tathagata  Satpathy,18,8
382,Smt.  Jaya Prada  Nahata,8,18
381,Shri  Inder Singh  Namdhari,26,0
380,Shri   Mangani Lal  Mandal,26,0
379,Shri  Dinesh Chandra  Yadav,26,0
378,Smt.  Bhavana  Gawali,25,1
377,Shri  Prasanna  Kumar Patasani,25,1
376,Dr.  Rattan Singh  Ajnala,17,9
375,Shri  K. Chandrasekhar  Rao,1,25
