Division NO,Member Name,No.of days Members signed the Register,No.of days Members not signed the Register
374,Shri  Rajiv Ranjan  Singh  @ Lalan Singh,26,0
373,Shri  Anandrao  Adsul,17,9
372,Shri  Chandrakant  Khaire,19,7
371,Shri  P.  Karunakaran,20,6
370,Shri  Bhartruhari  Mahtab,23,3
369,Shri  Ram Sundar  Das,26,0
368,Shri  Anant Gangaram  Geete,24,2
367,Shri  Arjun Charan  Sethi,16,10
366,Shri  Sharad  Yadav,22,4
365,Shri  Basudeb  Acharia,25,1
364,Dr.  Tarun  Mondal,25,1
363,Shri  Mekapati Rajamohan  Reddy,6,20
362,Shri  Prasanta Kumar  Majumdar,23,3
361,Shri  Sakti  Mohan   Malik,24,2
360,Shri  Bibhu Prasad  Tarai,24,2
359,Shri  Kadir  Rana,15,11
358,Shri  Surendra Singh  Nagar,16,10
357,Shri  Kapil Muni  Karwariya,25,1
356,Shri  Radhey Mohan  Singh,25,1
355,Shri  Yashvir  Singh,25,1
354,Shri    Mithlesh Kumar,25,1
353,Shri  Kabir  Suman,6,20
352,Dr.  Ratna  De (Nag),21,5
351,Dr.  Padamsinha  Bajirao  Patil,15,11
350,Shri  P.  Kumar,24,2
349,Shri  P.  Lingam,26,0
348,Shri  M. B.  Rajesh,25,1
347,Shri  P. K.  Biju,25,1
346,Shri  Ramashankar  Rajbhar,26,0
345,Shri  Deoraj Singh  Patel,26,0
344,Shri  Arvind Kumar  Chaudhary,26,0
343,Shri  Kamlesh  Balmiki,25,1
342,Shri  Ghanshyam  Anuragi,26,0
341,Shri  Pakauri  Lal,25,1
340,Dr.  Sucharu Ranjan  Haldar,24,2
339,Shri  Tapas  Paul,16,10
338,Smt.  Satabdi  Roy,21,5
337,Shri  C.  Sivasami,20,6
336,Shri  Mahendra Kumar  Roy,25,1
335,Sk.   Saidul  Haque,26,0
334,Shri  Gorakh Prasad  Jaiswal,25,1
333,Shri  Rakesh  Pandey,24,2
332,Shri  Bal Kumar  Patel,25,1
331,Smt.  Usha  Verma,25,1
330,Shri    Suvendu   Adhikari,5,21
329,Shri  Ambica  Banerjee,22,4
328,Shri  K.  Sugumar,22,4
327,Shri  Pulin Bihari  Baske,24,2
326,Dr.  Anup Kumar  Saha,21,5
325,Smt.  Susmita  Bauri,25,1
324,Shri  Dhananjay  Singh,19,7
323,Shri    Gorakhnath  Pandey,26,0
322,Shri  Neeraj  Shekhar,26,0
321,Shri  Dharmendra  Yadav,21,5
320,Shri  Premdas  Katheria,26,0
318,Shri  Dinesh  Trivedi,4,22
317,Shri  M.  Anandan,26,0
316,Shri  Manohar  Tirkey,14,12
315,Adv.  A.  Sampath,23,3
314,Shri  P.R.  Natarajan,25,1
313,Smt.  Kaisar  Jahan,10,16
312,Smt.  Raj Kumari  Chauhan,21,5
311,Shri  Rakesh  Sachan,25,1
310,Shri    Ramkishun,26,0
30,Smt.  Chandresh  Kumari,19,7
309,Shri  S.K. Nurul  Islam,5,21
307,Shri  Madhu  Koda,25,1
306,Shri  C.  Rajendran,22,4
305,Shri  P.  Venugopal,26,0
304,Shri  Bansagopal  Chowdhury,21,5
303,Shri  Prabodh  Panda,22,4
302,Smt. Tabassum  Hasan,22,4
301,Smt.  Seema  Upadhyay,26,0
300,Smt.  Sushila  Saroj,24,2
29,Shri  Harish  Rawat,26,0
299,Shri  R.K. Singh  Patel,25,1
298,Shri  O. S.  Manian,17,9
297,Shri  Khagen  Das,24,2
296,Dr.  Ram Chandra  Dome,19,7
295,Shri  Vijay Bahadur  Singh,25,1
294,Shri  Jagdish Singh  Rana,25,1
293,Shri  Tufani  Saroj,26,0
292,Shri  Brij Bhushan Sharan  Singh,25,1
291,Shri  Kalyan  Singh,20,6
290,Shri  S.  Semmalai,25,1
289,Shri  Baju Ban  Riyan,24,2
288,Dr.  Shafiqur Rahman  Barq,26,0
287,Shri  Ashok Kumar  Rawat,26,0
286,Shri  Akhilesh  Yadav,16,10
285,Dr.  M.  Thambidurai,26,0
284,Shri  Bhisma  Shankar Alias Kushal Tiwari,24,2
283,Shri  Shailendra  Kumar,25,1
280,Shri  Gurudas  Das Gupta,26,0
279,Dr.    Bali Ram,25,1
278,Kunwar  Rewati Raman  Singh,23,3
277,Shri  H.D.  Devegowda,23,3
276,Shri  Mulayam Singh  Yadav,23,3
275,Shri  C. L.  Ruala,25,1
274,Shri  Sanjay  Bhoi,25,1
273,Shri  Hemanand  Biswal,24,2
272,Shri  Amarnath  Pradhan,24,2
271,Shri  Pradeep  Majhi,23,3
270,Shri  Thangso  Baite,26,0
269,Dr.  Nilesh N.  Rane,22,4
268,Shri  Jaywant  Gangaram   Awale,24,2
267,Shri   Suresh  Kashinath   Taware,22,4
266,Shri  Marotrao  Sainuji   Kowase,23,3
265,Shri  Premchand  Guddu,22,4
264,Shri  Uday Pratap  Singh,25,1
263,Shri  S. R.  Jeyadurai,17,9
262,Smt.  J. Helen Davidson,23,3
261,Shri  Uma Shanaker  Singh,26,0
260,Shri  Jagada Nand  Singh,26,0
259,Shri   Baliram  Jadhav,26,0
258,Shri  C. M.  Chang,23,3
257,Shri  Prem Das  Rai,25,1
256,Shri  Thol Thirumaavalavan,15,11
255,Shri  N. Cheluvaraya Swamy,16,10
254,Shri  Kameshwar  Baitha,24,2
253,Shri  Jose K.  Mani,21,5
252,Shri  Narayan Singh  Amlabe,26,0
251,Shri  Sanjay Dina  Patil,24,2
250,Shri    Sivakumar @  Ritheesh,11,15
249,Shri  Om Prakash  Yadav,22,4
248,Shri  N.  Peethambarakurup,18,8
247,Shri  Anto  Antony,22,4
246,Shri  M. I.  Shanavas,19,7
245,Adv.  P. T.  Thomas,26,0
244,Shri  Partap Singh  Bajwa,24,2
243,Shri  Mohinder Singh  Kaypee,23,3
242,Shri  Charles  Dias,25,1
240,Shri  Zafar Ali  Naqvi,22,4
239,Shri  Bharat Ram  Meghwal,25,1
238,Shri  Raja Ram  Pal,26,0
237,Shri  Ratan  Singh,26,0
236,Shri  Khiladi Lal  Bairwa,25,1
235,Shri  Badri Ram  Jakhar,25,1
234,Shri  Harish  Choudhary,24,2
233,Shri  Raghuvir Singh  Meena,23,3
232,Shri  Gopal  Singh  Shekhawat,25,1
231,Shri  E. T. Muhammed  Basheer,16,10
230,Shri  Ijyaraj  Singh,26,0
229,Shri  Mahesh  Joshi,26,0
228,Shri  Sharief Ud Din  Shariq,25,1
227,Shri  S. S.  Ramasubbu,26,0
226,Shri  Pradeep  Tamta,24,2
225,Shri  Praveen Singh  Aron,25,1
224,Shri  Harsh  Vardhan,22,4
223,"Dr.  Vinay Kumar  Panday ""Vinnu""",25,1
222,Shri  Kamal  Kishor   Commando,26,0
221,Shri  P.L.  Punia,26,0
220,Shri  Jitendra  Singh Malik,23,3
217,Dr.  Kakoli Ghosh  Dastidar,15,11
216,Shri  Sultan  Ahmed,1,25
215,Shri  H.D.  Kumaraswamy,5,21
214,Shri  N.Dharam  Singh,16,10
213,Shri  Jagdambika  Pal,19,7
212,Shri  Mirza Mehboob  Beg,21,5
211,Shri  Babu Lal  Marandi,9,17
210,Shri  Badruddin  Ajmal,9,17
208,Shri  Somendranath  Mitra,8,18
207,Shri    Abdul Rahman,22,4
206,Shri  R.  Thamaraiselvan,17,9
205,Shri  Sadashivrao Dadoba  Mandlik,21,5
204,Shri  Hassan  Khan,25,1
203,Dr.  Raghuvansh Prasad  Singh,26,0
202,Shri  Sansuma Khunggur  Bwiswmuthiary,23,3
201,Shri  Asaduddin  Owaisi,13,13
200,Dr.  Sanjeev Ganesh  Naik,25,1
199,Shri    Adhi Sankar,14,12
198,Shri  E.G.  Sugavanam,17,9
197,Shri  A.K.S.  Vijayan,10,16
196,Shri  Kalyan  Banerjee,16,10
195,Shri  D.  Venugopal,21,5
194,Shri  Sameer  Bhujbal,22,4
193,Shri   Udayanraje  Bhonsle,21,5
192,Smt.  Supriya  Sule,20,6
190,Shri  T.K.S.  Elangovan,25,1
189,Shri  Shibu  Soren,7,19
188,Shri    Lalu Prasad,22,4
187,Shri  Dara Singh  Chauhan,26,0
186,Shri  K. P.  Dhanapalan,26,0
185,Shri  M. K.  Raghavan,21,5
184,Shri  Ajay  Kumar,19,7
183,Shri  K.  Sudhakaran,18,8
182,Shri  R.  Dhruvanarayana,15,11
181,Shri  Adagooru  Vishwanath,16,10
180,Shri  Jagdish  Thakor,17,9
179,Shri  Mukeshkumar  Bheiravdanji  Gadhvi,23,3
178,Shri  Suresh Kumar  Shetkar,6,20
176,Shri   Vitthalbhai  Harnsrajbhai   Radadiya,4,22
175,Shri  Kuvarjibhai Mohanbhai  Bavalia,14,12
174,Shri  Basori Singh  Masram,15,11
173,Shri  S.  Alagiri,19,7
172,Shri  Abdul Mannan  Hossain,18,8
171,Shri  Sajjan Singh  Verma,25,1
169,Shri  Manicka  Tagore,25,1
168,Shri  Devendra  Nagpal,15,11
167,Dr.  Jyoti  Mirdha,24,2
166,Smt.  Meenakshi  Natrajan,25,1
165,Smt.  Annu  Tandon,26,0
164,Smt.  Sarika  D.S. Baghel,26,0
163,Ms.  Mausam  Noor,16,10
162,Smt.  Rajesh Nandini  Singh,25,1
161,Dr.  Prabha Kishore  Taviad,26,0
160,Smt.  Shruti  Choudhry,22,4
15,Shri  Dayanidhi  Maran,15,11
158,Dr.  Nirmal  Khatri,26,0
157,Shri  M.  Krishnaswamy,24,2
156,Dr.  Thokchom  Meinya,26,0
155,Shri  Eknath  Gaikwad,26,0
154,Shri  Kishan V.  Patel,21,5
153,Shri    Bapiraju  Kanumuru,25,1
152,Smt.  Ingrid  Mcleod,23,3
151,Smt.    Botcha Jhansi Lakshmi,25,1
150,Shri    Lagadapati   Rajagopal,20,6
149,Shri  Vikrambhai Arjanbhai  Maadam    Ahir,17,9
148,Shri  Lalit  Mohan  Suklabaidya,26,0
147,Shri  S.P.Y.  Reddy,12,14
146,Shri  Aruna Kumar  Vundavalli,26,0
145,Shri  G.V.  Harsha Kumar,22,4
143,Shri  Anjan Kumar  Yadav. M,16,10
142,Shri  Sanjay Singh  Chauhan,25,1
141,Shri  Gajendra Singh  Rajukhedi,25,1
140,Sardar  Sukhdev  Singh    Libra,25,1
139,Smt.  Santosh  Chowdhary,22,4
138,Smt.  Priya  Dutt,17,9
137,Rajkumari  Ratna  Singh,23,3
135,Shri  Tarachand  Bhagora,23,3
134,Shri  Bhakta Charan  Das,26,0
133,Shri  Deepender Singh  Hooda,21,5
132,Shri  Bhaskarrao  Patil  Khatgaonkar,21,5
131,Shri  Jayant  Chaudhary,24,2
130,Dr.  Sanjay  Singh,22,4
129,Dr.  Arvind Kumar  Sharma,16,10
128,Shri  N.S.V.  Chitthan,25,1
127,Shri  Magunta Srinivasulu  Reddy,16,10
126,Shri  Francisco  Sardinha,25,1
124,Shri  Dip  Gogoi,19,7
123,Shri  Sanjay  Nirupam,24,2
121,Shri  Inderjit Singh  Rao,22,4
120,Dr.  Girija  Vyas,23,3
11,Shri  Ajit  Singh,8,18
119,Shri  P.C.  Chacko,22,4
118,Shri  Avtar Singh  Bhadana,14,12
117,Shri  Somabhai Gandalal Koli  Patel,24,2
116,Shri  A. Venkatarami  Reddy,23,3
114,Shri  Raj  Babbar,24,2
113,Shri   Rayapati S.  Rao,17,9
112,Shri  Datta  Meghe,24,2
110,Shri  Jai Prakash  Agarwal,26,0
109,Shri  Kantilal  Bhuria,12,14
108,Dr.  Kavuri Samba Siva  Rao,26,0
107,Shri  Biren Singh  Engti,26,0
106,Dr.    Chinta Mohan,20,6
105,Shri  Gurudas  Kamat,5,21
104,Shri  A. Sai Prathap,25,1
103,Shri  Bijoy Krishna  Handique,25,1
101,Shri  Manikrao Hodlya  Gavit,23,3
100,Shri  Vilasrao Baburao  Muttemwar,24,2
