Id,Name,DaysSigned,DaysMissed,Gender,State,Party,Constituency
3,Smt.  Sonia  Gandhi,15,9,0,Uttar Pradesh,INC,Rai Bareli
11,Shri  Ajit  Singh,2,22,1,Uttar Pradesh,RJD,Baghpat
29,Shri  Harish  Rawat,24,0,1,Uttarakhand,INC,Hardwar
30,Smt.  Chandresh  Kumari,21,3,0,Rajasthan,INC,Jodhpur
38,Shri  Jitender  Singh,1,23,1,Haryana,INC,Sonipat
39,Shri  Manish  Tewari,24,0,1,Punjab,INC,Ludhiana
53,Shri  Pratik  Patil,14,10,1,Maharashtra,INC,Sangli
55,Dr.  Shashi  Tharoor,22,2,1,Kerala,INC,Thiruvananthapuram
60,Shri    Kodikunnil  Suresh,22,2,1,Kerala,INC,Mavelikkara
62,Shri  K. J.S.P.  Reddy,20,4,1,Andhra Pradesh,INC,
63,Shri  A.H.   Khan  Choudhury,16,8,1,West Bengal,INC,Maldaha Dakshin
64,Shri  Adhir Ranjan  Chowdhury,20,4,1,West Bengal,INC,Baharampur
65,Smt.  Ranee  Narah,24,0,0,Assam,INC,Lakhimpur
66,Shri   Sarvey  Sathyanarayana,14,10,1,Andhra Pradesh,INC,
67,Shri  Ninong  Ering,21,3,1,Arunachal Pradesh,INC,
68,Smt.  Deepa  Dasmunsi,22,2,0,West Bengal,INC,
69,Shri  P.  Balram  Naik,19,5,1,Andhra Pradesh,INC,
70,Dr.  Krupa Rani  Killi,22,2,0,Andhra Pradesh,INC,
71,Shri  Lal Chand  Kataria,23,1,1,Rajasthan,INC,
72,Shri  Sandeep  Dikshit,24,0,1,NCT of Delhi,INC,
73,Shri  J.M.  Aaron Rashid,17,7,1,Tamil Nadu,INC,
74,Shri  Arun  Yadav,21,3,1,Madhya Pradesh,INC,
75,Shri  Naveen  Jindal,23,1,1,Haryana,INC,
76,Shri  Madhu Goud  Yaskhi,22,2,1,Andhra Pradesh,INC,
77,Shri  Satpal  Maharaj,19,5,1,Uttarakhand,INC,
78,Shri  Vincent H.  Pala,6,18,1,Uttarakhand,INC,
78,Shri  Vijay  Bahuguna,23,1,1,Uttarakhand,INC,
78,Shri  Vincent H.  Pala,6,18,1,Meghalaya,INC,
78,Shri  Vijay  Bahuguna,23,1,1,Meghalaya,INC,
79,Shri  Madan Lal  Sharma,23,1,1,Jammu and Kashmir,INC,
80,Chaudhary  Lal  Singh,22,2,1,Jammu and Kashmir,INC,
81,Shri  Mohammed  Azharuddin,18,6,1,Uttar Pradesh,INC,
82,Shri  Hamdullah  Sayeed,21,3,1,Lakshadweep,INC,
83,Shri  Ashok  Tanwar,17,7,1,Haryana,INC,
84,Shri  K.C.  Singh Baba,21,3,1,Uttarakhand,INC,
85,Shri  Vijay Inder  Singla,20,4,1,Punjab,INC,
88,Shri  Sabbam  Hari,20,4,1,Andhra Pradesh,INC,
89,Shri  Ravneet  Singh,21,3,1,Punjab,INC,
90,Shri  Mahabal  Mishra,24,0,1,NCT of Delhi,INC,
91,Shri  Ramesh  Kumar,24,0,1,NCT of Delhi,INC,
92,Shri  Ismail Hussain,24,0,1,Assam,INC,
93,Shri  Mohammad Asrarul  Haque,22,2,1,Bihar,INC,
94,Shri  Takam  Sanjoy,16,8,1,Arunachal Pradesh,INC,
97,Shri  P.  Viswanathan,21,3,1,Tamil Nadu,INC,
98,Shri  Sheesh Ram  Ola,23,1,1,Rajasthan,INC,
99,Shri  T.R.  Baalu,21,3,1,Tamil Nadu,DMK,
100,Shri  Vilasrao Baburao  Muttemwar,23,1,1,Maharashtra,INC,
101,Shri  Manikrao Hodlya  Gavit,23,1,1,Maharashtra,INC,
102,Shri  Suresh  Kalmadi,1,23,1,Maharashtra,INC,
104,Shri  A. Sai Prathap,20,4,1,Andhra Pradesh,INC,Rajampet
106,Dr.    Chinta Mohan,21,3,1,Andhra Pradesh,INC,Tirupathi
