Id,Name,DaysSigned,DaysMissed,Gender,State,Party,Constituency
3,Smt.  Sonia  Gandhi,19,16,0,Uttar Pradesh,INC,Rai Bareli
29,Shri  Harish  Rawat,26,9,1,Uttarakhand,INC,Hardwar
30,Smt.  Chandresh  Kumari,32,3,0,Rajasthan,INC,Jodhpur
38,Shri  Jitender  Singh,2,33,1,Haryana,INC,Sonipat
39,Shri  Manish  Tewari,34,1,1,Punjab,INC,Ludhiana
52,Dr.  Tusharbhai   A.  Chaudhari,1,34,1,Gujarat,INC,Bardoli
53,Shri  Pratik  Patil,25,10,1,Maharashtra,INC,Sangli
55,Dr.  Shashi  Tharoor,35,0,1,Kerala,INC,Thiruvananthapuram
60,Shri    Kodikunnil  Suresh,32,3,1,Kerala,INC,Mavelikkara
62,Shri  K. J.S.P.  Reddy,20,15,1,Andhra Pradesh,INC,
63,Shri  A.H.   Khan  Choudhury,31,4,1,West Bengal,INC,Maldaha Dakshin
64,Shri  Adhir Ranjan  Chowdhury,33,2,1,West Bengal,INC,Baharampur
65,Smt.  Ranee  Narah,27,8,0,Assam,INC,Lakhimpur
66,Shri   Sarvey  Sathyanarayana,17,18,1,Andhra Pradesh,INC,
67,Shri  Ninong  Ering,32,3,1,Arunachal Pradesh,INC,
68,Smt.  Deepa  Dasmunsi,29,6,0,West Bengal,INC,
69,Shri  P.  Balram  Naik,22,13,1,Andhra Pradesh,INC,
70,Dr.  Krupa Rani  Killi,27,8,0,Andhra Pradesh,INC,
71,Shri  Lal Chand  Kataria,35,0,1,Rajasthan,INC,
72,Shri  Sandeep  Dikshit,33,2,1,NCT of Delhi,INC,
73,Shri  J.M.  Aaron Rashid,25,10,1,Tamil Nadu,INC,
74,Shri  Arun  Yadav,28,7,1,Madhya Pradesh,INC,
75,Shri  Naveen  Jindal,27,8,1,Haryana,INC,
76,Shri  Madhu Goud  Yaskhi,26,9,1,Andhra Pradesh,INC,
77,Shri  Satpal  Maharaj,32,3,1,Uttarakhand,INC,
78,Shri  Vincent H.  Pala,1,34,1,Uttarakhand,INC,
78,Shri  Vijay  Bahuguna,1,34,1,Uttarakhand,INC,
78,Shri  Vincent H.  Pala,1,34,1,Meghalaya,INC,
78,Shri  Vijay  Bahuguna,1,34,1,Meghalaya,INC,
79,Shri  Madan Lal  Sharma,35,0,1,Jammu and Kashmir,INC,
80,Chaudhary  Lal  Singh,30,5,1,Jammu and Kashmir,INC,
81,Shri  Mohammed  Azharuddin,24,11,1,Uttar Pradesh,INC,
82,Shri  Hamdullah  Sayeed,29,6,1,Lakshadweep,INC,
83,Shri  Ashok  Tanwar,33,2,1,Haryana,INC,
84,Shri  K.C.  Singh Baba,20,15,1,Uttarakhand,INC,
85,Shri  Vijay Inder  Singla,33,2,1,Punjab,INC,
88,Shri  Sabbam  Hari,24,11,1,Andhra Pradesh,INC,
89,Shri  Ravneet  Singh,35,0,1,Punjab,INC,
90,Shri  Mahabal  Mishra,34,1,1,NCT of Delhi,INC,
91,Shri  Ramesh  Kumar,35,0,1,NCT of Delhi,INC,
92,Shri  Ismail Hussain,35,0,1,Assam,INC,
93,Shri  Mohammad Asrarul  Haque,35,0,1,Bihar,INC,
94,Shri  Takam  Sanjoy,15,20,1,Arunachal Pradesh,INC,
97,Shri  P.  Viswanathan,32,3,1,Tamil Nadu,INC,
98,Shri  Sheesh Ram  Ola,35,0,1,Rajasthan,INC,
99,Shri  T.R.  Baalu,29,6,1,Tamil Nadu,DMK,
100,Shri  Vilasrao Baburao  Muttemwar,32,3,1,Maharashtra,INC,
101,Shri  Manikrao Hodlya  Gavit,32,3,1,Maharashtra,INC,
102,Shri  Suresh  Kalmadi,29,6,1,Maharashtra,INC,
104,Shri  A. Sai Prathap,27,8,1,Andhra Pradesh,INC,Rajampet
106,Dr.    Chinta Mohan,21,14,1,Andhra Pradesh,INC,Tirupathi
107,Shri  Biren Singh  Engti,35,0,1,Assam,INC,
108,Dr.  Kavuri Samba Siva  Rao,25,10,1,Andhra Pradesh,INC,Eluru
110,Shri  Jai Prakash  Agarwal,35,0,1,NCT of Delhi,INC,
112,Shri  Datta  Meghe,31,4,1,Maharashtra,INC,
113,Shri   Rayapati S.  Rao,23,12,1,Andhra Pradesh,INC,Guntur
115,Dr.  Manda  Jagannath,26,9,1,Andhra Pradesh,INC,Nagarkurnool
116,Shri  A. Venkatarami  Reddy,14,21,1,Andhra Pradesh,INC,Anantapur
117,Shri  Somabhai Gandalal Koli  Patel,33,2,1,Gujarat,INC,
118,Shri  Avtar Singh  Bhadana,20,15,1,Haryana,INC,
119,Shri  P.C.  Chacko,28,7,1,Kerala,INC,Thrissur
120,Dr.  Girija  Vyas,31,4,0,Rajasthan,INC,Chittorgarh
121,Shri  Inderjit Singh  Rao,29,6,1,Haryana,INC,Gurgaon
123,Shri  Sanjay  Nirupam,32,3,1,Maharashtra,INC,Mumbai North
124,Shri  Dip  Gogoi,32,3,1,Assam,INC,Kaliabor
126,Shri  Francisco  Sardinha,30,5,1,Goa,INC,South Goa
127,Shri  Magunta Srinivasulu  Reddy,16,19,1,Andhra Pradesh,INC,Ongole
128,Shri  N.S.V.  Chitthan,32,3,1,Tamil Nadu,INC,Dindigul
129,Dr.  Arvind Kumar  Sharma,26,9,1,Haryana,INC,
130,Dr.  Sanjay  Singh,31,4,1,Uttar Pradesh,INC,
131,Shri  Jayant  Chaudhary,23,12,1,Uttar Pradesh,RLD,
132,Shri  Bhaskarrao  Patil  Khatgaonkar,27,8,1,Maharashtra,INC,
133,Shri  Deepender Singh  Hooda,31,4,1,Haryana,INC,
134,Shri  Bhakta Charan  Das,30,5,1,Orissa,INC,
135,Shri  Tarachand  Bhagora,33,2,1,Rajasthan,INC,
137,Rajkumari  Ratna  Singh,32,3,0,Uttar Pradesh,INC,
138,Smt.  Priya  Dutt,23,12,0,Maharashtra,INC,
139,Smt.  Santosh  Chowdhary,33,2,0,Punjab,INC,
140,Sardar  Sukhdev  Singh    Libra,34,1,1,Punjab,INC,
141,Shri  Gajendra Singh  Rajukhedi,30,5,1,Madhya Pradesh,INC,
