Id,Name,DaysSigned,DaysMissed,Gender,State,Party,Constituency
11,Shri  Ajit  Singh,8,18,1,Uttar Pradesh,RJD,Baghpat
29,Shri  Harish  Rawat,26,0,1,Uttarakhand,INC,Hardwar
30,Smt.  Chandresh  Kumari,19,7,0,Rajasthan,INC,Jodhpur
38,Shri  Jitender  Singh,11,15,1,Haryana,INC,Sonipat
39,Shri  Manish  Tewari,23,3,1,Punjab,INC,Ludhiana
53,Shri  Pratik  Patil,21,5,1,Maharashtra,INC,Sangli
55,Dr.  Shashi  Tharoor,23,3,1,Kerala,INC,Thiruvananthapuram
56,Shri  Pradeep  Jain   Aditya,1,25,1,Uttar Pradesh,INC,Jhansi
60,Shri    Kodikunnil  Suresh,18,8,1,Kerala,INC,Mavelikkara
62,Shri  K. J.S.P.  Reddy,10,16,1,Andhra Pradesh,INC,
63,Shri  A.H.   Khan  Choudhury,21,5,1,West Bengal,INC,Maldaha Dakshin
64,Shri  Adhir Ranjan  Chowdhury,22,4,1,West Bengal,INC,Baharampur
65,Smt.  Ranee  Narah,25,1,0,Assam,INC,Lakhimpur
66,Shri   Sarvey  Sathyanarayana,19,7,1,Andhra Pradesh,INC,
67,Shri  Ninong  Ering,22,4,1,Arunachal Pradesh,INC,
68,Smt.  Deepa  Dasmunsi,22,4,0,West Bengal,INC,
69,Shri  P.  Balram  Naik,3,23,1,Andhra Pradesh,INC,
70,Dr.  Krupa Rani  Killi,23,3,0,Andhra Pradesh,INC,
71,Shri  Lal Chand  Kataria,26,0,1,Rajasthan,INC,
72,Shri  Sandeep  Dikshit,23,3,1,NCT of Delhi,INC,
73,Shri  J.M.  Aaron Rashid,13,13,1,Tamil Nadu,INC,
74,Shri  Arun  Yadav,18,8,1,Madhya Pradesh,INC,
75,Shri  Naveen  Jindal,24,2,1,Haryana,INC,
76,Shri  Madhu Goud  Yaskhi,3,23,1,Andhra Pradesh,INC,
77,Shri  Satpal  Maharaj,22,4,1,Uttarakhand,INC,
78,Shri  Vincent H.  Pala,19,7,1,Uttarakhand,INC,
78,Shri  Vijay  Bahuguna,26,0,1,Uttarakhand,INC,
78,Shri  Vincent H.  Pala,19,7,1,Meghalaya,INC,
78,Shri  Vijay  Bahuguna,26,0,1,Meghalaya,INC,
79,Shri  Madan Lal  Sharma,24,2,1,Jammu and Kashmir,INC,
80,Chaudhary  Lal  Singh,22,4,1,Jammu and Kashmir,INC,
81,Shri  Mohammed  Azharuddin,20,6,1,Uttar Pradesh,INC,
82,Shri  Hamdullah  Sayeed,22,4,1,Lakshadweep,INC,
83,Shri  Ashok  Tanwar,23,3,1,Haryana,INC,
84,Shri  K.C.  Singh Baba,16,10,1,Uttarakhand,INC,
85,Shri  Vijay Inder  Singla,23,3,1,Punjab,INC,
88,Shri  Sabbam  Hari,21,5,1,Andhra Pradesh,INC,
89,Shri  Ravneet  Singh,26,0,1,Punjab,INC,
90,Shri  Mahabal  Mishra,23,3,1,NCT of Delhi,INC,
91,Shri  Ramesh  Kumar,26,0,1,NCT of Delhi,INC,
92,Shri  Ismail Hussain,26,0,1,Assam,INC,
93,Shri  Mohammad Asrarul  Haque,24,2,1,Bihar,INC,
94,Shri  Takam  Sanjoy,15,11,1,Arunachal Pradesh,INC,
