Division NO,Member Name,No.of days Members signed the Register,No.of days Members not signed the Register
482,Shri  Nikhil Kumar  Choudhary,35,0
481,Shri  Shripad Yesso  Naik,28,7
480,Shri  Radha Mohan  Singh,33,2
479,Shri  Vishnu Deo  Sai,18,17
478,Smt.  Yashodhara Raje  Scindia,19,16
477,Shri  Narendra Singh  Tomar,31,4
476,Shri  Rajendrasinh  Rana,35,0
475,Shri  Yogi  Adityanath,27,8
474,Smt.  Sumitra  Mahajan,32,3
473,Shri  Kailash  Joshi,33,2
471,Shri  Harin  Pathak,33,2
470,Smt.  Bijoya  Chakravarty,30,5
469,Shri  Dilip Singh  Judev,13,22
468,Shri  Kabindra  Purkayastha,35,0
467,Smt.  Maneka  Gandhi,31,4
466,Shri  Jaswant  Singh,34,1
465,Shri    Ananth Kumar,31,4
464,Shri  Ramesh  Bais,34,1
463,Shri  Yashwant  Sinha,32,3
462,Shri  Hukamdeo Narayan  Yadav,34,1
461,Shri  Syed Shahnawaz  Hussain,34,1
460,Shri  Shatrughan  Sinha,29,6
457,Shri  Lal Krishna  Advani,35,0
456,Shri   Gopinathrao  Pandurang   Munde,20,15
455,Shri  Rajnath  Singh,30,5
454,Dr.  Murli Manohar  Joshi,30,5
453,Shri  S.  Pakkirappa,19,16
452,Shri  Ramesh  Vishwanath   Katti,25,10
451,Dr.  Rajan  Sushant,34,1
450,Shri  Udasi Shivkumar  Chanabasappa,34,1
449,Shri  Shivarama  Gouda,28,7
448,Shri  Virender  Kashyap,30,5
447,Shri  Joseph  Toppo,26,9
446,Shri  Sher Singh  Ghubaya,23,12
445,Shri  Maheshwar  Hazari,32,3
444,Shri  Kaushalendra  Kumar,34,1
443,Smt.    Putul Kumari,29,6
442,Shri  Laxman  Tudu,19,16
441,Shri  Sidhant  Mohapatra,21,14
440,Shri   Raju Shetti,30,5
439,Shri    Varun  Gandhi,25,10
438,Shri  Rajendra  Agarwal,34,1
437,Prof.(Dr.)  Ram Shankar  Katheria,31,4
436,Shri  Kamlesh  Paswan,33,2
435,Shri   Bhausaheb  Rajaram   Wakchaure,24,11
434,Shri  Bhudeo  Choudhary,27,8
433,Smt.  Meena  Singh,35,0
432,Adv.   Ganeshrao  Nagorao Dudhgaonkar,24,11
431,Shri  Gajanan D.  Babar,28,7
429,Shri  Kristappa  Nimmala,21,14
428,Shri  Kalikesh N. Singh  Deo,29,6
427,Shri  Yashbant N.S.  Laguri,23,12
426,Kum.  Saroj  Pandey,24,11
425,Smt.  Darshana  Jardosh,33,2
424,Shri  Purnmasi  Ram,28,7
423,Shri  Mahabali  Singh,35,0
422,Shri  Subhash Bapurao  Wankhede,21,14
421,Shri  Nityananda  Pradhan,24,11
420,Dr.  Kirodi  Lal  Meena,33,2
419,Shri  Naramalli  Sivaprasad,9,26
418,Shri  Modugula Venugopala  Reddy,15,20
417,Shri  Hari  Manjhi,34,1
416,Shri  Jeetendra Singh  Bundela,33,2
415,Shri  P. C.  Mohan,24,11
414,Smt.  Aswamedh  Devi,31,4
413,Shri  Arjun  Roy,34,1
412,Shri   Prataprao  Ganpatrao Jadhav,25,10
411,Shri  A.  Ganeshamurthi,27,8
410,Shri  Rudramadhab  Ray,28,7
409,Shri  Jayaram  Pangi,28,7
408,Shri  K. Narayana  Rao,21,14
407,Shri  Nripendra Nath  Roy,29,6
406,Smt.    Rama Devi,35,0
405,Shri  Ramen  Deka,34,1
404,Shri  Angadi Suresh  Channabasappa,30,5
403,Shri  Baidyanath Prasad  Mahto,35,0
402,Shri  Vishwa Mohan  Kumar,29,6
401,Shri  Kuldeep  Bishnoi,16,19
400,Shri  Baijayant  Panda,20,15
3,Smt.  Sonia  Gandhi,19,16
39,Shri  Manish  Tewari,34,1
399,Shri  Pinaki  Misra,33,2
398,Ms.  M. Vijaya  Shanthi,7,28
397,Shri  Ramesh  Rathod,16,19
396,Shri  Narahari  Mahato,26,9
394,Shri  Sushil Kumar  Singh,30,5
393,Shri  Jagdish  Sharma,30,5
392,Shri  Anand Prakash  Paranjpe,25,10
391,Shri  Mohan  Jena,20,15
390,Smt.  Paramjit Kaur  Gulshan,32,3
38,Shri  Jitender  Singh,2,33
389,Smt.  Harsimrat Kaur  Badal,31,4
388,Shri  Nama Nageswara  Rao,30,5
387,Dr.  Monazir  Hassan,33,2
386,Capt.(Retd.)  Jainarayan Prasad  Nishad,32,3
385,Dr.  Ranjan Prasad  Yadav,35,0
384,Shri  Shivaji  Adhalrao Patil,15,20
383,Shri  Tathagata  Satpathy,20,15
382,Smt.  Jaya Prada  Nahata,11,24
381,Shri  Inder Singh  Namdhari,31,4
380,Shri   Mangani Lal  Mandal,31,4
379,Shri  Dinesh Chandra  Yadav,33,2
378,Smt.  Bhavana  Gawali,23,12
377,Shri  Prasanna  Kumar Patasani,31,4
376,Dr.  Rattan Singh  Ajnala,31,4
375,Shri  K. Chandrasekhar  Rao,7,28
374,Shri  Rajiv Ranjan  Singh  @ Lalan Singh,31,4
373,Shri  Anandrao  Adsul,27,8
372,Shri  Chandrakant  Khaire,23,12
371,Shri  P.  Karunakaran,28,7
370,Shri  Bhartruhari  Mahtab,31,4
369,Shri  Ram Sundar  Das,33,2
368,Shri  Anant Gangaram  Geete,24,11
367,Shri  Arjun Charan  Sethi,34,1
366,Shri  Sharad  Yadav,34,1
365,Shri  Basudeb  Acharia,29,6
364,Dr.  Tarun  Mondal,26,9
362,Shri  Prasanta Kumar  Majumdar,23,12
361,Shri  Sakti  Mohan   Malik,33,2
360,Shri  Bibhu Prasad  Tarai,25,10
359,Shri  Kadir  Rana,21,14
358,Shri  Surendra Singh  Nagar,35,0
357,Shri  Kapil Muni  Karwariya,26,9
356,Shri  Radhey Mohan  Singh,30,5
355,Shri  Yashvir  Singh,26,9
354,Shri    Mithlesh Kumar,28,7
353,Shri  Kabir  Suman,8,27
352,Dr.  Ratna  De (Nag),31,4
351,Dr.  Padamsinha  Bajirao  Patil,23,12
350,Shri  P.  Kumar,35,0
349,Shri  P.  Lingam,32,3
348,Shri  M. B.  Rajesh,35,0
347,Shri  P. K.  Biju,31,4
346,Shri  Ramashankar  Rajbhar,35,0
345,Shri  Deoraj Singh  Patel,33,2
344,Shri  Arvind Kumar  Chaudhary,31,4
343,Shri  Kamlesh  Balmiki,31,4
342,Shri  Ghanshyam  Anuragi,31,4
341,Shri  Pakauri  Lal,31,4
340,Dr.  Sucharu Ranjan  Haldar,22,13
339,Shri  Tapas  Paul,35,0
338,Smt.  Satabdi  Roy,33,2
337,Shri  C.  Sivasami,17,18
336,Shri  Mahendra Kumar  Roy,35,0
335,Sk.   Saidul  Haque,34,1
334,Shri  Gorakh Prasad  Jaiswal,27,8
333,Shri  Rakesh  Pandey,34,1
332,Shri  Bal Kumar  Patel,26,9
331,Smt.  Usha  Verma,30,5
330,Shri    Suvendu   Adhikari,10,25
329,Shri  Ambica  Banerjee,8,27
328,Shri  K.  Sugumar,34,1
327,Shri  Pulin Bihari  Baske,33,2
326,Dr.  Anup Kumar  Saha,29,6
325,Smt.  Susmita  Bauri,30,5
324,Shri  Dhananjay  Singh,22,13
323,Shri    Gorakhnath  Pandey,35,0
322,Shri  Neeraj  Shekhar,33,2
321,Shri  Dharmendra  Yadav,23,12
320,Shri  Premdas  Katheria,33,2
319,Shri  Gobinda Chandra  Naskar,32,3
318,Shri  Dinesh  Trivedi,15,20
317,Shri  M.  Anandan,35,0
316,Shri  Manohar  Tirkey,25,10
315,Adv.  A.  Sampath,27,8
314,Shri  P.R.  Natarajan,33,2
313,Smt.  Kaisar  Jahan,21,14
312,Smt.  Raj Kumari  Chauhan,29,6
311,Shri  Rakesh  Sachan,29,6
310,Shri    Ramkishun,30,5
30,Smt.  Chandresh  Kumari,32,3
309,Shri  S.K. Nurul  Islam,19,16
306,Shri  C.  Rajendran,33,2
305,Shri  P.  Venugopal,35,0
304,Shri  Bansagopal  Chowdhury,31,4
303,Shri  Prabodh  Panda,29,6
302,Smt. Tabassum  Hasan,21,14
301,Smt.  Seema  Upadhyay,30,5
300,Smt.  Sushila  Saroj,29,6
29,Shri  Harish  Rawat,26,9
299,Shri  R.K. Singh  Patel,32,3
298,Shri  O. S.  Manian,30,5
297,Shri  Khagen  Das,33,2
296,Dr.  Ram Chandra  Dome,29,6
295,Shri  Vijay Bahadur  Singh,29,6
294,Shri  Jagdish Singh  Rana,34,1
293,Shri  Tufani  Saroj,27,8
292,Shri  Brij Bhushan Sharan  Singh,27,8
291,Shri  Kalyan  Singh,26,9
290,Shri  S.  Semmalai,30,5
289,Shri  Baju Ban  Riyan,35,0
288,Dr.  Shafiqur Rahman  Barq,35,0
287,Shri  Ashok Kumar  Rawat,31,4
286,Shri  Akhilesh  Yadav,1,20
285,Dr.  M.  Thambidurai,35,0
284,Shri  Bhisma  Shankar Alias Kushal Tiwari,28,7
283,Shri  Shailendra  Kumar,35,0
281,Shri  Subrata  Bakshi,14,21
280,Shri  Gurudas  Das Gupta,27,8
279,Dr.    Bali Ram,35,0
278,Kunwar  Rewati Raman  Singh,33,2
277,Shri  H.D.  Devegowda,5,30
276,Shri  Mulayam Singh  Yadav,27,8
275,Shri  C. L.  Ruala,35,0
274,Shri  Sanjay  Bhoi,35,0
273,Shri  Hemanand  Biswal,32,3
272,Shri  Amarnath  Pradhan,33,2
271,Shri  Pradeep  Majhi,10,25
270,Shri  Thangso  Baite,35,0
269,Dr.  Nilesh N.  Rane,26,9
268,Shri  Jaywant  Gangaram   Awale,34,1
267,Shri   Suresh  Kashinath   Taware,25,10
266,Shri  Marotrao  Sainuji   Kowase,22,13
265,Shri  Premchand  Guddu,30,5
264,Shri  Uday Pratap  Singh,29,6
263,Shri  S. R.  Jeyadurai,22,13
262,Smt.  J. Helen Davidson,26,9
261,Shri  Uma Shanaker  Singh,34,1
260,Shri  Jagada Nand  Singh,35,0
259,Shri   Baliram  Jadhav,31,4
258,Shri  C. M.  Chang,32,3
257,Shri  Prem Das  Rai,30,5
256,Shri  Thol Thirumaavalavan,24,11
255,Shri  N. Cheluvaraya Swamy,17,18
254,Shri  Kameshwar  Baitha,23,12
253,Shri  Jose K.  Mani,27,8
252,Shri  Narayan Singh  Amlabe,35,0
251,Shri  Sanjay Dina  Patil,32,3
250,Shri    Sivakumar @  Ritheesh,18,17
249,Shri  Om Prakash  Yadav,29,6
248,Shri  N.  Peethambarakurup,33,2
247,Shri  Anto  Antony,31,4
246,Shri  M. I.  Shanavas,30,5
245,Adv.  P. T.  Thomas,35,0
244,Shri  Partap Singh  Bajwa,32,3
243,Shri  Mohinder Singh  Kaypee,34,1
242,Shri  Charles  Dias,35,0
240,Shri  Zafar Ali  Naqvi,30,5
239,Shri  Bharat Ram  Meghwal,34,1
238,Shri  Raja Ram  Pal,33,2
237,Shri  Ratan  Singh,35,0
236,Shri  Khiladi Lal  Bairwa,34,1
235,Shri  Badri Ram  Jakhar,33,2
234,Shri  Harish  Choudhary,29,6
233,Shri  Raghuvir Singh  Meena,32,3
232,Shri  Gopal  Singh  Shekhawat,34,1
231,Shri  E. T. Muhammed  Basheer,28,7
230,Shri  Ijyaraj  Singh,35,0
229,Shri  Mahesh  Joshi,35,0
228,Shri  Sharief Ud Din  Shariq,30,5
227,Shri  S. S.  Ramasubbu,35,0
226,Shri  Pradeep  Tamta,32,3
225,Shri  Praveen Singh  Aron,30,5
224,Shri  Harsh  Vardhan,33,2
223,"Dr.  Vinay Kumar  Panday ""Vinnu""",31,4
222,Shri  Kamal  Kishor   Commando,35,0
221,Shri  P.L.  Punia,35,0
220,Shri  Jitendra  Singh Malik,16,19
219,Shri  Rajaiah  Siricilla,15,20
218,Shri  K. R. G.  Reddy,11,24
217,Dr.  Kakoli Ghosh  Dastidar,28,7
215,Shri  H.D.  Kumaraswamy,6,30
214,Shri  N.Dharam  Singh,27,8
213,Shri  Jagdambika  Pal,31,4
212,Shri  Mirza Mehboob  Beg,34,1
211,Shri  Babu Lal  Marandi,11,24
210,Shri  Badruddin  Ajmal,22,13
208,Shri  Somendranath  Mitra,21,14
207,Shri    Abdul Rahman,26,9
206,Shri  R.  Thamaraiselvan,32,3
205,Shri  Sadashivrao Dadoba  Mandlik,15,20
204,Shri  Hassan  Khan,31,4
203,Dr.  Raghuvansh Prasad  Singh,34,1
202,Shri  Sansuma Khunggur  Bwiswmuthiary,20,15
201,Shri  Asaduddin  Owaisi,26,9
200,Dr.  Sanjeev Ganesh  Naik,34,1
199,Shri    Adhi Sankar,27,8
198,Shri  E.G.  Sugavanam,25,10
197,Shri  A.K.S.  Vijayan,20,15
196,Shri  Kalyan  Banerjee,24,11
195,Shri  D.  Venugopal,26,9
194,Shri  Sameer  Bhujbal,17,18
193,Shri   Udayanraje  Bhonsle,17,18
192,Smt.  Supriya  Sule,31,4
190,Shri  T.K.S.  Elangovan,34,1
189,Shri  Shibu  Soren,6,29
188,Shri    Lalu Prasad,30,5
187,Shri  Dara Singh  Chauhan,33,2
186,Shri  K. P.  Dhanapalan,35,0
185,Shri  M. K.  Raghavan,27,8
184,Shri  Ajay  Kumar,30,5
183,Shri  K.  Sudhakaran,22,13
182,Shri  R.  Dhruvanarayana,33,2
181,Shri  Adagooru  Vishwanath,25,10
180,Shri  Jagdish  Thakor,13,22
179,Shri  Mukeshkumar  Bheiravdanji  Gadhvi,29,6
178,Shri  Suresh Kumar  Shetkar,23,12
177,Dr.  G.  Vivekanand,19,16
176,Shri   Vitthalbhai  Harnsrajbhai   Radadiya,16,19
175,Shri  Kuvarjibhai Mohanbhai  Bavalia,28,7
174,Shri  Basori Singh  Masram,30,5
173,Shri  S.  Alagiri,24,11
172,Shri  Abdul Mannan  Hossain,28,7
171,Shri  Sajjan Singh  Verma,33,2
170,Shri  Prabhakar  Ponnam,26,9
16,Shri  A.  Raja,4,31
169,Shri  Manicka  Tagore,34,1
168,Shri  Devendra  Nagpal,19,16
167,Dr.  Jyoti  Mirdha,34,1
166,Smt.  Meenakshi  Natrajan,29,6
165,Smt.  Annu  Tandon,35,0
164,Smt.  Sarika  D.S. Baghel,31,4
163,Ms.  Mausam  Noor,30,5
162,Smt.  Rajesh Nandini  Singh,24,11
161,Dr.  Prabha Kishore  Taviad,34,1
160,Smt.  Shruti  Choudhry,31,4
15,Shri  Dayanidhi  Maran,27,8
158,Dr.  Nirmal  Khatri,35,0
157,Shri  M.  Krishnaswamy,32,3
156,Dr.  Thokchom  Meinya,34,1
155,Shri  Eknath  Gaikwad,33,2
154,Shri  Kishan V.  Patel,33,2
153,Shri    Bapiraju  Kanumuru,28,7
152,Smt.  Ingrid  Mcleod,20,15
151,Smt.    Botcha Jhansi Lakshmi,30,5
150,Shri    Lagadapati   Rajagopal,21,14
149,Shri  Vikrambhai Arjanbhai  Maadam    Ahir,26,9
148,Shri  Lalit  Mohan  Suklabaidya,34,1
147,Shri  S.P.Y.  Reddy,23,12
146,Shri  Aruna Kumar  Vundavalli,35,0
145,Shri  G.V.  Harsha Kumar,28,7
144,Shri  Gutha  Sukender Reddy,18,17
143,Shri  Anjan Kumar  Yadav. M,33,2
142,Shri  Sanjay Singh  Chauhan,34,1
141,Shri  Gajendra Singh  Rajukhedi,30,5
140,Sardar  Sukhdev  Singh    Libra,34,1
139,Smt.  Santosh  Chowdhary,33,2
138,Smt.  Priya  Dutt,23,12
137,Rajkumari  Ratna  Singh,32,3
135,Shri  Tarachand  Bhagora,33,2
134,Shri  Bhakta Charan  Das,30,5
133,Shri  Deepender Singh  Hooda,31,4
132,Shri  Bhaskarrao  Patil  Khatgaonkar,27,8
131,Shri  Jayant  Chaudhary,23,12
130,Dr.  Sanjay  Singh,31,4
129,Dr.  Arvind Kumar  Sharma,26,9
128,Shri  N.S.V.  Chitthan,32,3
127,Shri  Magunta Srinivasulu  Reddy,16,19
126,Shri  Francisco  Sardinha,30,5
124,Shri  Dip  Gogoi,32,3
123,Shri  Sanjay  Nirupam,32,3
121,Shri  Inderjit Singh  Rao,29,6
120,Dr.  Girija  Vyas,31,4
119,Shri  P.C.  Chacko,28,7
118,Shri  Avtar Singh  Bhadana,20,15
117,Shri  Somabhai Gandalal Koli  Patel,33,2
116,Shri  A. Venkatarami  Reddy,14,21
115,Dr.  Manda  Jagannath,26,9
114,Shri  Raj  Babbar,22,13
113,Shri   Rayapati S.  Rao,23,12
112,Shri  Datta  Meghe,31,4
110,Shri  Jai Prakash  Agarwal,35,0
109,Shri  Kantilal  Bhuria,17,18
108,Dr.  Kavuri Samba Siva  Rao,25,10
107,Shri  Biren Singh  Engti,35,0
106,Dr.    Chinta Mohan,21,14
105,Shri  Gurudas  Kamat,27,8
104,Shri  A. Sai Prathap,27,8
103,Shri  Bijoy Krishna  Handique,30,5
102,Shri  Suresh  Kalmadi,29,6
101,Shri  Manikrao Hodlya  Gavit,32,3
100,Shri  Vilasrao Baburao  Muttemwar,32,3
