Division NO,Member Name,No.of days Members signed the Register,No.of days Members not signed the Register
Division NO,Member Name,No. of days Members signed the Register,No. of days Members not signed the Register
99,Shri  T.R.  Baalu,29,6
98,Shri  Sheesh Ram  Ola,35,0
97,Shri  P.  Viswanathan,32,3
94,Shri  Takam  Sanjoy,15,20
93,Shri  Mohammad Asrarul  Haque,35,0
92,Shri  Ismail Hussain,35,0
91,Shri  Ramesh  Kumar,35,0
90,Shri  Mahabal  Mishra,34,1
89,Shri  Ravneet  Singh,35,0
88,Shri  Sabbam  Hari,24,11
86,Shri  K Jayaprakash  Hegde,24,1
85,Shri  Vijay Inder  Singla,33,2
84,Shri  K.C.  Singh Baba,20,15
83,Shri  Ashok  Tanwar,33,2
82,Shri  Hamdullah  Sayeed,29,6
81,Shri  Mohammed  Azharuddin,24,11
80,Chaudhary  Lal  Singh,30,5
79,Shri  Madan Lal  Sharma,35,0
78,Shri  Vincent H.  Pala,1,34
78,Shri  Vijay  Bahuguna,1,34
77,Shri  Satpal  Maharaj,32,3
76,Shri  Madhu Goud  Yaskhi,26,9
75,Shri  Naveen  Jindal,27,8
74,Shri  Arun  Yadav,28,7
73,Shri  J.M.  Aaron Rashid,25,10
72,Shri  Sandeep  Dikshit,33,2
71,Shri  Lal Chand  Kataria,35,0
70,Dr.  Krupa Rani  Killi,27,8
69,Shri  P.  Balram  Naik,22,13
68,Smt.  Deepa  Dasmunsi,29,6
67,Shri  Ninong  Ering,32,3
66,Shri   Sarvey  Sathyanarayana,17,18
65,Smt.  Ranee  Narah,27,8
64,Shri  Adhir Ranjan  Chowdhury,33,2
63,Shri  A.H.   Khan  Choudhury,31,4
62,Shri  K. J.S.P.  Reddy,20,15
61,Shri  Rahul  Gandhi,13,22
60,Shri    Kodikunnil  Suresh,32,3
55,Dr.  Shashi  Tharoor,35,0
550,Smt.  Jat Poonamben  Veljibhai,28,7
549,Shri  Murarilal  Singh,27,8
548,Shri  Nalin Kumar  Kateel,23,12
547,Shri    Naranbhai   Kachhadia,35,0
546,Shri  Natubhai Gomanbhai  Patel,28,7
545,Shri  Nishikant  Dubey,34,1
544,Smt.  Jayshreeben  Kanubhai    Patel,29,6
543,Ms.  J.  Shantha,7,28
542,Smt.  Jyoti  Dhurve,27,8
541,Smt.  Kamla Devi  Patle,27,8
540,Shri  Janardhana  Swamy,25,10
53,Shri  Pratik  Patil,25,10
539,Shri  K. D.  Deshmukh,30,5
538,Dr.  Kiritbhai  Premajibhai    Solanki,33,2
537,Shri  Lalubhai  B.  Patel,28,7
536,Shri  Madhusudan  Yadav,15,20
535,Shri  Chauhan  Mahendrasinh,35,0
534,Shri  Makhansingh  Solanki,32,3
533,Shri  Pradeep Kumar  Singh,25,10
532,Shri  Sonawane  Pratap Narayanrao,3,32
531,Shri  Shivraj  Bhaiya,33,2
530,Shri  A.T. Nana  Patil,32,3
52,Dr.  Tusharbhai   A.  Chaudhari,1,34
529,Shri  Arjun Ram  Meghwal,34,1
528,Shri  B. Y.  Raghavendra,17,18
527,Shri  Balkrishna Khanderao  Shukla,30,5
526,Shri  C. R.  Patil,28,7
525,Shri  Devji M.  Patel,31,4
524,Dr.  Bhola  Singh,33,2
523,Shri  Devidhan  Besra,18,17
522,Shri  Dinesh  Kashyap,16,19
521,Shri  Pashupati Nath  Singh,32,3
520,Shri  Prabhatsinh  Pratapsinh Chauhan,35,0
519,Dr.  Sanjay  Jaiswal,29,6
518,Shri  Sudarshan  Bhagat,34,1
517,Shri  Bhupendra  Singh,25,10
516,Shri  Chandulal Sahu  Chandu Bhaiya,32,3
515,Shri  Dinubhai  Boghabhal   Solanki,12,23
514,Shri  Govind Prasad  Mishra,33,2
513,Shri  Uday  Singh,26,9
512,Shri  Bishnu Pada  Ray,24,11
511,Shri  Dushyant  Singh,28,7
510,Shri   G.M.  Siddeswara,28,7
509,Shri  Haribhau  Jawale,32,3
508,Shri  Harischandra Deoram  Chavan,25,10
507,Shri  Navjot Singh  Sidhu,2,33
506,Shri  P.C.  Gaddigoudar,31,4
505,Shri  Sanjay  Dhotre,24,11
504,Shri  Prahlad  Joshi,32,3
503,Shri  Kirti  Azad,33,2
502,Shri  Ravindra Kumar  Pandey,31,4
501,Shri  Ramesh Chandappa  Jigajinagi,26,9
500,Shri  Ramsinhbhai Patalbhai  Rathwa,24,11
499,Shri  Sohan  Potai,22,13
498,Shri  Hansraj Gangaram  Ahir,28,7
497,Shri  Rajen  Gohain,26,9
496,Shri  Raosaheb  Dadarao  Danve,22,13
495,Shri  Anurag Singh  Thakur,27,8
494,Shri  Rakesh  Singh,26,9
493,Shri  Ganesh  Singh,31,4
492,Shri    Virendra Kumar,35,0
491,Shri  Ashok  Argal,34,1
490,Shri  Lalji  Tandon,28,7
489,Shri  D.B. Chandre  Gowda,24,11
488,Shri  G.S.  Basavaraj,25,10
487,Shri  Mansukhbhai Dhanjibhai  Vasava,31,4
486,Shri  Ram Singh  Kaswan,35,0
485,Shri  Ramakant  Yadav,21,14
484,Shri  Anant Kumar  Hegde,30,5
483,Shri  Dilip Kumar Mansukhlal  Gandhi,29,6
