Division NO,Member Name,No.of days Members signed the Register,No.of days Members not signed the Register
Division NO,Member Name,No. of days Members signed the Register,No. of days Members not signed the Register
421,Shri  Nityananda  Pradhan,25,7
420,Dr.  Kirodi  Lal  Meena,29,3
419,Shri  Naramalli  Sivaprasad,18,14
418,Shri  Modugula Venugopala  Reddy,18,14
417,Shri  Hari  Manjhi,32,0
416,Shri  Jeetendra Singh  Bundela,29,3
415,Shri  P. C.  Mohan,17,15
414,Smt.  Aswamedh  Devi,32,0
413,Shri  Arjun  Roy,31,1
412,Shri   Prataprao  Ganpatrao Jadhav,25,7
411,Shri  A.  Ganeshamurthi,25,7
410,Shri  Rudramadhab  Ray,25,7
409,Shri  Jayaram  Pangi,23,9
408,Shri  K. Narayana  Rao,24,8
407,Shri  Nripendra Nath  Roy,24,8
406,Smt.    Rama Devi,31,1
405,Shri  Ramen  Deka,30,2
404,Shri  Angadi Suresh  Channabasappa,26,6
403,Shri  Baidyanath Prasad  Mahto,32,0
402,Shri  Vishwa Mohan  Kumar,24,8
400,Shri  Baijayant  Panda,20,12
3,Smt.  Sonia  Gandhi,20,12
39,Shri  Manish  Tewari,32,0
399,Shri  Pinaki  Misra,27,5
398,Ms.  M. Vijaya  Shanthi,1,31
397,Shri  Ramesh  Rathod,22,10
396,Shri  Narahari  Mahato,23,9
394,Shri  Sushil Kumar  Singh,29,3
393,Shri  Jagdish  Sharma,28,4
392,Shri  Anand Prakash  Paranjpe,25,7
391,Shri  Mohan  Jena,26,6
390,Smt.  Paramjit Kaur  Gulshan,29,3
38,Shri  Jitender  Singh,28,4
389,Smt.  Harsimrat Kaur  Badal,29,3
388,Shri  Nama Nageswara  Rao,31,1
387,Dr.  Monazir  Hassan,30,2
386,Capt.(Retd.)  Jainarayan Prasad  Nishad,25,7
385,Dr.  Ranjan Prasad  Yadav,32,0
384,Shri  Shivaji  Adhalrao Patil,14,18
383,Shri  Tathagata  Satpathy,28,4
382,Smt.  Jaya Prada  Nahata,4,28
381,Shri  Inder Singh  Namdhari,32,0
381,Shri  Digvijay  Singh,19,13
380,Shri   Mangani Lal  Mandal,32,0
379,Shri  Dinesh Chandra  Yadav,32,0
378,Smt.  Bhavana  Gawali,27,5
377,Shri  Prasanna  Kumar Patasani,28,4
376,Dr.  Rattan Singh  Ajnala,32,0
375,Shri  K. Chandrasekhar  Rao,1,31
374,Shri  Rajiv Ranjan  Singh  @ Lalan Singh,27,5
373,Shri  Anandrao  Adsul,26,6
372,Shri  Chandrakant  Khaire,19,13
371,Shri  P.  Karunakaran,29,3
370,Shri  Bhartruhari  Mahtab,32,0
369,Shri  Ram Sundar  Das,28,4
368,Shri  Anant Gangaram  Geete,24,8
367,Shri  Arjun Charan  Sethi,31,1
366,Shri  Sharad  Yadav,27,5
365,Shri  Basudeb  Acharia,31,1
364,Dr.  Tarun  Mondal,30,2
363,Shri  Mekapati Rajamohan  Reddy,28,4
362,Shri  Prasanta Kumar  Majumdar,31,1
361,Shri  Sakti  Mohan   Malik,31,1
360,Shri  Bibhu Prasad  Tarai,29,3
359,Shri  Kadir  Rana,16,16
358,Shri  Surendra Singh  Nagar,29,3
357,Shri  Kapil Muni  Karwariya,20,12
356,Shri  Radhey Mohan  Singh,27,5
355,Shri  Yashvir  Singh,30,2
354,Shri    Mithlesh Kumar,30,2
353,Shri  Kabir  Suman,10,22
352,Dr.  Ratna  De (Nag),18,14
351,Dr.  Padamsinha  Bajirao  Patil,29,3
350,Shri  P.  Kumar,27,5
349,Shri  P.  Lingam,32,0
348,Shri  M. B.  Rajesh,32,0
347,Shri  P. K.  Biju,27,5
346,Shri  Ramashankar  Rajbhar,27,5
345,Shri  Deoraj Singh  Patel,26,6
344,Shri  Arvind Kumar  Chaudhary,30,2
343,Shri  Kamlesh  Balmiki,31,1
342,Shri  Ghanshyam  Anuragi,30,2
341,Shri  Pakauri  Lal,28,4
340,Dr.  Sucharu Ranjan  Haldar,28,4
339,Shri  Tapas  Paul,19,13
338,Smt.  Satabdi  Roy,20,12
337,Shri  C.  Sivasami,26,6
336,Shri  Mahendra Kumar  Roy,32,0
335,Sk.   Saidul  Haque,31,1
334,Shri  Gorakh Prasad  Jaiswal,31,1
333,Shri  Rakesh  Pandey,26,6
332,Shri  Bal Kumar  Patel,30,2
331,Smt.  Usha  Verma,29,3
330,Shri    Suvendu   Adhikari,10,22
329,Shri  Ambica  Banerjee,29,3
328,Shri  K.  Sugumar,24,8
327,Shri  Pulin Bihari  Baske,30,2
326,Dr.  Anup Kumar  Saha,29,3
325,Smt.  Susmita  Bauri,30,2
324,Shri  Dhananjay  Singh,25,7
323,Shri    Gorakhnath  Pandey,29,3
322,Shri  Neeraj  Shekhar,31,1
321,Shri  Dharmendra  Yadav,28,4
320,Shri  Premdas  Katheria,29,3
319,Shri  Gobinda Chandra  Naskar,22,10
318,Shri  Dinesh  Trivedi,16,16
317,Shri  M.  Anandan,27,5
316,Shri  Manohar  Tirkey,23,9
315,Adv.  A.  Sampath,27,5
314,Shri  P.R.  Natarajan,19,13
313,Smt.  Kaisar  Jahan,22,10
312,Smt.  Raj Kumari  Chauhan,23,9
311,Shri  Rakesh  Sachan,28,4
310,Shri    Ramkishun,28,4
30,Smt.  Chandresh  Kumari,26,6
309,Shri  S.K. Nurul  Islam,16,16
306,Shri  C.  Rajendran,19,13
306,Shri    Bhajan Lal,14,18
305,Shri  P.  Venugopal,25,7
304,Shri  Bansagopal  Chowdhury,21,11
303,Shri  Prabodh  Panda,29,3
302,Smt. Tabassum  Hasan,24,8
301,Smt.  Seema  Upadhyay,30,2
300,Smt.  Sushila  Saroj,32,0
29,Shri  Harish  Rawat,32,0
299,Shri  R.K. Singh  Patel,28,4
298,Shri  O. S.  Manian,16,16
297,Shri  Khagen  Das,22,10
296,Dr.  Ram Chandra  Dome,28,4
295,Shri  Vijay Bahadur  Singh,28,4
294,Shri  Jagdish Singh  Rana,28,4
293,Shri  Tufani  Saroj,30,2
292,Shri  Brij Bhushan Sharan  Singh,32,0
291,Shri  Kalyan  Singh,6,26
290,Shri  S.  Semmalai,29,3
289,Shri  Baju Ban  Riyan,23,9
288,Dr.  Shafiqur Rahman  Barq,31,1
287,Shri  Ashok Kumar  Rawat,30,2
286,Shri  Akhilesh  Yadav,22,10
285,Dr.  M.  Thambidurai,19,13
284,Shri  Bhisma  Shankar Alias Kushal Tiwari,29,3
283,Shri  Shailendra  Kumar,29,3
282,Prof.  Saugata  Ray,16,16
280,Shri  Gurudas  Das Gupta,30,2
279,Dr.    Bali Ram,31,1
278,Kunwar  Rewati Raman  Singh,28,4
277,Shri  H.D.  Devegowda,20,12
276,Shri  Mulayam Singh  Yadav,30,2
275,Shri  C. L.  Ruala,30,2
274,Shri  Sanjay  Bhoi,28,4
273,Shri  Hemanand  Biswal,31,1
272,Shri  Amarnath  Pradhan,28,4
271,Shri  Pradeep  Majhi,26,6
270,Shri  Thangso  Baite,31,1
269,Dr.  Nilesh N.  Rane,31,1
268,Shri  Jaywant  Gangaram   Awale,30,2
267,Shri   Suresh  Kashinath   Taware,32,0
266,Shri  Marotrao  Sainuji   Kowase,24,8
265,Shri  Premchand  Guddu,20,12
264,Shri  Uday Pratap  Singh,25,7
263,Shri  S. R.  Jeyadurai,28,4
262,Smt.  J. Helen Davidson,26,6
261,Shri  Uma Shanaker  Singh,32,0
260,Shri  Jagada Nand  Singh,32,0
25,Shri  Beni Prasad  Verma,32,0
259,Shri   Baliram  Jadhav,26,6
258,Shri  C. M.  Chang,30,2
257,Shri  Prem Das  Rai,27,5
256,Shri  Thol Thirumaavalavan,4,28
255,Shri  N. Cheluvaraya Swamy,13,19
254,Shri  Kameshwar  Baitha,1,31
253,Shri  Jose K.  Mani,30,2
252,Shri  Narayan Singh  Amlabe,31,1
251,Shri  Sanjay Dina  Patil,29,3
250,Shri    Sivakumar @  Ritheesh,14,18
24,Shri  V. Kishore Chandra S.  Deo,30,2
249,Shri  Om Prakash  Yadav,21,11
248,Shri  N.  Peethambarakurup,29,3
247,Shri  Anto  Antony,30,2
246,Shri  M. I.  Shanavas,30,2
245,Adv.  P. T.  Thomas,32,0
244,Shri  Partap Singh  Bajwa,31,1
243,Shri  Mohinder Singh  Kaypee,31,1
242,Shri  Charles  Dias,32,0
240,Shri  Zafar Ali  Naqvi,30,2
239,Shri  Bharat Ram  Meghwal,32,0
238,Shri  Raja Ram  Pal,31,1
237,Shri  Ratan  Singh,27,5
236,Shri  Khiladi Lal  Bairwa,31,1
235,Shri  Badri Ram  Jakhar,30,2
234,Shri  Harish  Choudhary,31,1
233,Shri  Raghuvir Singh  Meena,31,1
232,Shri  Gopal  Singh  Shekhawat,32,0
231,Shri  E. T. Muhammed  Basheer,30,2
230,Shri  Ijyaraj  Singh,32,0
229,Shri  Mahesh  Joshi,31,1
228,Shri  Sharief Ud Din  Shariq,29,3
227,Shri  S. S.  Ramasubbu,32,0
226,Shri  Pradeep  Tamta,32,0
225,Shri  Praveen Singh  Aron,21,11
224,Shri  Harsh  Vardhan,19,13
223,"Dr.  Vinay Kumar  Panday ""Vinnu""",30,2
222,Shri  Kamal  Kishor   Commando,32,0
221,Shri  P.L.  Punia,30,2
220,Shri  Jitendra  Singh Malik,24,8
219,Shri  Rajaiah  Siricilla,31,1
218,Shri  K. R. G.  Reddy,27,5
217,Dr.  Kakoli Ghosh  Dastidar,20,12
215,Shri  H.D.  Kumaraswamy,11,21
214,Shri  N.Dharam  Singh,26,6
213,Shri  Jagdambika  Pal,31,1
212,Shri  Mirza Mehboob  Beg,26,6
211,Shri  Babu Lal  Marandi,13,19
210,Shri  Badruddin  Ajmal,19,13
208,Shri  Somendranath  Mitra,14,18
207,Shri    Abdul Rahman,23,9
206,Shri  R.  Thamaraiselvan,24,8
205,Shri  Sadashivrao Dadoba  Mandlik,16,16
204,Shri  Hassan  Khan,32,0
203,Dr.  Raghuvansh Prasad  Singh,32,0
202,Shri  Sansuma Khunggur  Bwiswmuthiary,16,16
201,Shri  Asaduddin  Owaisi,22,10
200,Dr.  Sanjeev Ganesh  Naik,28,4
199,Shri    Adhi Sankar,16,16
198,Shri  E.G.  Sugavanam,18,14
197,Shri  A.K.S.  Vijayan,19,13
196,Shri  Kalyan  Banerjee,25,7
195,Shri  D.  Venugopal,24,8
194,Shri  Sameer  Bhujbal,29,3
193,Shri   Udayanraje  Bhonsle,12,20
192,Smt.  Supriya  Sule,31,1
191,Shri  Sudip  Bandyopadhyay,30,2
190,Shri  T.K.S.  Elangovan,32,0
189,Shri  Shibu  Soren,2,30
188,Shri    Lalu Prasad,29,3
187,Shri  Dara Singh  Chauhan,28,4
186,Shri  K. P.  Dhanapalan,32,0
185,Shri  M. K.  Raghavan,19,13
183,Shri  K.  Sudhakaran,21,11
182,Shri  R.  Dhruvanarayana,28,4
181,Shri  Adagooru  Vishwanath,25,7
180,Shri  Jagdish  Thakor,31,1
179,Shri  Mukeshkumar  Bheiravdanji  Gadhvi,29,3
178,Shri  Suresh Kumar  Shetkar,31,1
177,Dr.  G.  Vivekanand,26,6
176,Shri   Vitthalbhai  Harnsrajbhai   Radadiya,3,29
175,Shri  Kuvarjibhai Mohanbhai  Bavalia,27,5
174,Shri  Basori Singh  Masram,31,1
173,Shri  S.  Alagiri,24,8
172,Shri  Abdul Mannan  Hossain,15,17
171,Shri  Sajjan Singh  Verma,28,4
170,Shri  Prabhakar  Ponnam,32,0
169,Shri  Manicka  Tagore,28,4
168,Shri  Devendra  Nagpal,22,10
167,Dr.  Jyoti  Mirdha,29,3
166,Smt.  Meenakshi  Natrajan,31,1
165,Smt.  Annu  Tandon,29,3
164,Smt.  Sarika  D.S. Baghel,31,1
163,Ms.  Mausam  Noor,30,2
162,Smt.  Rajesh Nandini  Singh,30,2
161,Dr.  Prabha Kishore  Taviad,32,0
160,Smt.  Shruti  Choudhry,30,2
158,Dr.  Nirmal  Khatri,31,1
157,Shri  M.  Krishnaswamy,29,3
156,Dr.  Thokchom  Meinya,32,0
155,Shri  Eknath  Gaikwad,32,0
154,Shri  Kishan V.  Patel,27,5
153,Shri    Bapiraju  Kanumuru,31,1
152,Smt.  Ingrid  Mcleod,31,1
151,Smt.    Botcha Jhansi Lakshmi,30,2
150,Shri    Lagadapati   Rajagopal,28,4
14,Shri  Paban Singh  Ghatowar,30,2
149,Shri  Vikrambhai Arjanbhai  Maadam    Ahir,30,2
148,Shri  Lalit  Mohan  Suklabaidya,32,0
147,Shri  S.P.Y.  Reddy,21,11
146,Shri  Aruna Kumar  Vundavalli,32,0
145,Shri  G.V.  Harsha Kumar,22,10
144,Shri  Gutha  Sukender Reddy,25,7
143,Shri  Anjan Kumar  Yadav. M,25,7
142,Shri  Sanjay Singh  Chauhan,28,4
141,Shri  Gajendra Singh  Rajukhedi,28,4
140,Sardar  Sukhdev  Singh    Libra,31,1
139,Smt.  Santosh  Chowdhary,31,1
138,Smt.  Priya  Dutt,22,10
137,Rajkumari  Ratna  Singh,26,6
136,Km.  Agatha K.  Sangma,2,30
135,Shri  Tarachand  Bhagora,31,1
134,Shri  Bhakta Charan  Das,25,7
133,Shri  Deepender Singh  Hooda,25,7
132,Shri  Bhaskarrao  Patil  Khatgaonkar,26,6
131,Shri  Jayant  Chaudhary,31,1
130,Dr.  Sanjay  Singh,29,3
129,Dr.  Arvind Kumar  Sharma,26,6
128,Shri  N.S.V.  Chitthan,31,1
127,Shri  Magunta Srinivasulu  Reddy,20,12
126,Shri  Francisco  Sardinha,30,2
124,Shri  Dip  Gogoi,24,8
123,Shri  Sanjay  Nirupam,31,1
121,Shri  Inderjit Singh  Rao,29,3
120,Dr.  Girija  Vyas,32,0
11,Shri  Ajit  Singh,10,22
119,Shri  P.C.  Chacko,31,1
118,Shri  Avtar Singh  Bhadana,20,12
117,Shri  Somabhai Gandalal Koli  Patel,27,5
116,Shri  A. Venkatarami  Reddy,29,3
115,Dr.  Manda  Jagannath,32,0
114,Shri  Raj  Babbar,26,6
113,Shri   Rayapati S.  Rao,23,9
112,Shri  Datta  Meghe,31,1
110,Shri  Jai Prakash  Agarwal,32,0
108,Dr.  Kavuri Samba Siva  Rao,25,7
107,Shri  Biren Singh  Engti,32,0
106,Dr.    Chinta Mohan,29,3
105,Shri  Gurudas  Kamat,8,24
102,Shri  Suresh  Kalmadi,24,8
101,Shri  Manikrao Hodlya  Gavit,30,2
100,Shri  Vilasrao Baburao  Muttemwar,22,10
