Division NO,Member Name,No.of days Members signed the Register,No.of days Members not signed the Register
Division NO,Member Name,No. of days Members signed the Register,No. of days Members not signed the Register
99,Shri  T.R.  Baalu,22,4
98,Shri  Sheesh Ram  Ola,24,2
97,Shri  P.  Viswanathan,24,2
94,Shri  Takam  Sanjoy,22,4
93,Shri  Mohammad Asrarul  Haque,22,4
92,Shri  Ismail Hussain,25,1
91,Shri  Ramesh  Kumar,26,0
90,Shri  Mahabal  Mishra,23,3
89,Shri  Ravneet  Singh,17,9
88,Shri  Sabbam  Hari,26,0
85,Shri  Vijay Inder  Singla,26,0
84,Shri  K.C.  Singh Baba,18,8
83,Shri  Ashok  Tanwar,23,3
82,Shri  Hamdullah  Sayeed,26,0
81,Shri  Mohammed  Azharuddin,21,5
80,Chaudhary  Lal  Singh,21,5
79,Shri  Madan Lal  Sharma,24,2
78,Shri  Vincent H.  Pala,26,0
78,Shri  Vijay  Bahuguna,23,3
77,Shri  Satpal  Maharaj,25,1
76,Shri  Madhu Goud  Yaskhi,24,2
75,Shri  Naveen  Jindal,20,6
74,Shri  Arun  Yadav,1,25
73,Shri  J.M.  Aaron Rashid,18,8
72,Shri  Sandeep  Dikshit,25,1
71,Shri  Lal Chand  Kataria,25,1
70,Dr.  Krupa Rani  Killi,26,0
69,Shri  P.  Balram  Naik,19,7
68,Smt.  Deepa  Dasmunsi,17,9
67,Shri  Ninong  Ering,26,0
66,Shri   Sarvey  Sathyanarayana,19,7
65,Smt.  Ranee  Narah,16,10
64,Shri  Adhir Ranjan  Chowdhury,21,5
63,Shri  A.H.   Khan  Choudhury,20,6
62,Shri  K. J.S.P.  Reddy,12,14
61,Shri  Rahul  Gandhi,20,6
60,Shri    Kodikunnil  Suresh,21,5
59,Shri  Milind  Deora,24,2
58,Dr.  Charan Das  Mahant,24,2
57,Shri  K. C.  Venugopal,21,5
55,Dr.  Shashi  Tharoor,11,15
550,Smt.  Jat Poonamben  Veljibhai,26,0
54,Shri  R.P.N.  Singh,2,24
549,Shri  Murarilal  Singh,25,1
548,Shri  Nalin Kumar  Kateel,22,4
547,Shri    Naranbhai   Kachhadia,19,7
546,Shri  Natubhai Gomanbhai  Patel,17,9
545,Shri  Nishikant  Dubey,25,1
544,Smt.  Jayshreeben  Kanubhai    Patel,25,1
543,Ms.  J.  Shantha,22,4
542,Smt.  Jyoti  Dhurve,21,5
541,Smt.  Kamla Devi  Patle,21,5
540,Shri  Janardhana  Swamy,17,9
53,Shri  Pratik  Patil,22,4
539,Shri  K. D.  Deshmukh,15,11
538,Dr.  Kiritbhai  Premajibhai    Solanki,24,2
537,Shri  Lalubhai  B.  Patel,18,8
536,Shri  Madhusudan  Yadav,10,16
535,Shri  Chauhan  Mahendrasinh,26,0
