Division NO,Member Name,No.of days Members signed the Register,No.of days Members not signed the Register
Division NO,Member Name,No. of days Members signed the Register,No. of days Members not signed the Register
99,Shri  T.R.  Baalu,19,2
98,Shri  Sheesh Ram  Ola,16,5
97,Shri  P.  Viswanathan,20,1
94,Shri  Takam  Sanjoy,17,4
93,Shri  Mohammad Asrarul  Haque,20,1
92,Shri  Ismail Hussain,21,0
91,Shri  Ramesh  Kumar,21,0
90,Shri  Mahabal  Mishra,21,0
89,Shri  Ravneet  Singh,13,8
88,Shri  Sabbam  Hari,13,8
85,Shri  Vijay Inder  Singla,16,5
84,Shri  K.C.  Singh Baba,17,4
83,Shri  Ashok  Tanwar,13,8
82,Shri  Hamdullah  Sayeed,9,12
81,Shri  Mohammed  Azharuddin,18,3
80,Chaudhary  Lal  Singh,19,2
79,Shri  Madan Lal  Sharma,16,5
78,Shri  Vincent H.  Pala,21,0
78,Shri  Vijay  Bahuguna,19,2
77,Shri  Satpal  Maharaj,20,1
76,Shri  Madhu Goud  Yaskhi,20,1
75,Shri  Naveen  Jindal,15,6
74,Shri  Arun  Yadav,2,19
73,Shri  J.M.  Aaron Rashid,11,10
72,Shri  Sandeep  Dikshit,21,0
71,Shri  Lal Chand  Kataria,10,11
70,Dr.  Krupa Rani  Killi,14,7
69,Shri  P.  Balram  Naik,17,4
68,Smt.  Deepa  Dasmunsi,16,5
67,Shri  Ninong  Ering,15,6
66,Shri   Sarvey  Sathyanarayana,11,10
65,Smt.  Ranee  Narah,13,8
64,Shri  Adhir Ranjan  Chowdhury,19,2
63,Shri  A.H.   Khan  Choudhury,5,16
62,Shri  K. J.S.P.  Reddy,10,11
61,Shri  Rahul  Gandhi,11,10
60,Shri    Kodikunnil  Suresh,15,6
59,Shri  Milind  Deora,20,1
58,Dr.  Charan Das  Mahant,18,3
57,Shri  K. C.  Venugopal,19,2
56,Shri  Pradeep  Jain   Aditya,1,20
55,Dr.  Shashi  Tharoor,1,20
550,Smt.  Jat Poonamben  Veljibhai,14,7
549,Shri  Murarilal  Singh,7,14
548,Shri  Nalin Kumar  Kateel,11,10
547,Shri    Naranbhai   Kachhadia,16,5
546,Shri  Natubhai Gomanbhai  Patel,9,12
545,Shri  Nishikant  Dubey,13,8
544,Smt.  Jayshreeben  Kanubhai    Patel,18,3
543,Ms.  J.  Shantha,13,8
542,Smt.  Jyoti  Dhurve,15,6
541,Smt.  Kamla Devi  Patle,4,17
540,Shri  Janardhana  Swamy,8,13
53,Shri  Pratik  Patil,19,2
539,Shri  K. D.  Deshmukh,2,19
538,Dr.  Kiritbhai  Premajibhai    Solanki,20,1
537,Shri  Lalubhai  B.  Patel,3,18
535,Shri  Chauhan  Mahendrasinh,19,2
534,Shri  Makhansingh  Solanki,8,13
533,Shri  Pradeep Kumar  Singh,15,6
532,Shri  Sonawane  Pratap Narayanrao,10,11
531,Shri  Shivraj  Bhaiya,7,14
530,Shri  A.T. Nana  Patil,14,7
52,Dr.  Tusharbhai   A.  Chaudhari,20,1
529,Shri  Arjun Ram  Meghwal,20,1
528,Shri  B. Y.  Raghavendra,7,14
527,Shri  Balkrishna Khanderao  Shukla,6,15
526,Shri  C. R.  Patil,14,7
525,Shri  Devji M.  Patel,11,10
524,Dr.  Bhola  Singh,20,1
523,Shri  Devidhan  Besra,9,12
521,Shri  Pashupati Nath  Singh,9,12
520,Shri  Prabhatsinh  Pratapsinh Chauhan,10,11
519,Dr.  Sanjay  Jaiswal,18,3
518,Shri  Sudarshan  Bhagat,4,17
517,Shri  Bhupendra  Singh,3,18
516,Shri  Chandulal Sahu  Chandu Bhaiya,7,14
514,Shri  Govind Prasad  Mishra,18,3
513,Shri  Uday  Singh,18,3
512,Shri  Bishnu Pada  Ray,15,6
511,Shri  Dushyant  Singh,17,4
510,Shri   G.M.  Siddeswara,5,16
509,Shri  Haribhau  Jawale,14,7
508,Shri  Harischandra Deoram  Chavan,14,7
507,Shri  Navjot Singh  Sidhu,8,13
506,Shri  P.C.  Gaddigoudar,7,14
505,Shri  Sanjay  Dhotre,14,7
504,Shri  Prahlad  Joshi,10,11
503,Shri  Kirti  Azad,12,9
502,Shri  Ravindra Kumar  Pandey,9,12
501,Shri  Ramesh Chandappa  Jigajinagi,14,7
500,Shri  Ramsinhbhai Patalbhai  Rathwa,16,5
499,Shri  Sohan  Potai,1,20
498,Shri  Hansraj Gangaram  Ahir,16,5
497,Shri  Rajen  Gohain,5,16
496,Shri  Raosaheb  Dadarao  Danve,12,9
495,Shri  Anurag Singh  Thakur,18,3
494,Shri  Rakesh  Singh,3,18
493,Shri  Ganesh  Singh,9,12
492,Shri    Virendra Kumar,10,11
491,Shri  Ashok  Argal,14,7
490,Shri  Lalji  Tandon,14,7
489,Shri  D.B. Chandre  Gowda,13,8
488,Shri  G.S.  Basavaraj,9,12
487,Shri  Mansukhbhai Dhanjibhai  Vasava,17,4
486,Shri  Ram Singh  Kaswan,18,3
484,Shri  Anant Kumar  Hegde,11,10
483,Shri  Dilip Kumar Mansukhlal  Gandhi,3,18
482,Shri  Nikhil Kumar  Choudhary,13,8
481,Shri  Shripad Yesso  Naik,15,6
480,Shri  Radha Mohan  Singh,20,1
479,Shri  Vishnu Deo  Sai,4,17
478,Smt.  Yashodhara Raje  Scindia,18,3
478,Shri  D.V. Sadananda  Gowda,4,17
477,Shri  Narendra Singh  Tomar,5,16
476,Shri  Rajendrasinh  Rana,17,4
475,Shri  Yogi  Adityanath,14,7
474,Smt.  Sumitra  Mahajan,10,11
473,Shri  Kailash  Joshi,9,12
471,Shri  Harin  Pathak,13,8
470,Smt.  Bijoya  Chakravarty,20,1
469,Shri  Dilip Singh  Judev,8,13
468,Shri  Kabindra  Purkayastha,21,0
467,Smt.  Maneka  Gandhi,16,5
466,Shri  Jaswant  Singh,8,13
465,Shri    Ananth Kumar,17,4
464,Shri  Ramesh  Bais,15,6
463,Shri  Yashwant  Sinha,5,16
462,Shri  Hukamdeo Narayan  Yadav,20,1
461,Shri  Syed Shahnawaz  Hussain,21,0
460,Shri  Shatrughan  Sinha,11,10
458,Smt.  Sushma  Swaraj,20,1
457,Shri  Lal Krishna  Advani,1,20
456,Shri   Gopinathrao  Pandurang   Munde,11,10
455,Shri  Rajnath  Singh,13,8
454,Dr.  Murli Manohar  Joshi,14,7
453,Shri  S.  Pakkirappa,16,5
452,Shri  Ramesh  Vishwanath   Katti,9,12
451,Dr.  Rajan  Sushant,21,0
450,Shri  Udasi Shivkumar  Chanabasappa,10,11
449,Shri  Shivarama  Gouda,6,15
448,Shri  Virender  Kashyap,19,2
447,Shri  Joseph  Toppo,16,5
446,Shri  Sher Singh  Ghubaya,16,5
445,Shri  Maheshwar  Hazari,18,3
444,Shri  Kaushalendra  Kumar,21,0
442,Shri  Laxman  Tudu,14,7
441,Shri  Sidhant  Mohapatra,12,9
440,Shri   Raju Shetti,18,3
439,Shri    Varun  Gandhi,16,5
438,Shri  Rajendra  Agarwal,20,1
437,Prof.(Dr.)  Ram Shankar  Katheria,10,11
436,Shri  Kamlesh  Paswan,15,6
435,Shri   Bhausaheb  Rajaram   Wakchaure,10,11
434,Shri  Bhudeo  Choudhary,21,0
433,Smt.  Meena  Singh,18,3
432,Adv.   Ganeshrao  Nagorao Dudhgaonkar,21,0
431,Shri  Gajanan D.  Babar,5,16
430,Shri  Y.S.Jagan Mohan  Reddy,16,5
429,Shri  Kristappa  Nimmala,20,1
428,Shri  Kalikesh N. Singh  Deo,11,10
427,Shri  Yashbant N.S.  Laguri,14,7
