Division NO,Member Name,No.of days Members signed the Register,No.of days Members not signed the Register
Division NO,Member Name,No. of days Members signed the Register,No. of days Members not signed the Register
99,Shri  T.R.  Baalu,17,2
98,Shri  Sheesh Ram  Ola,19,0
97,Shri  P.  Viswanathan,18,1
94,Shri  Takam  Sanjoy,6,13
93,Shri  Mohammad Asrarul  Haque,18,1
92,Shri  Ismail Hussain,2,17
91,Shri  Ramesh  Kumar,19,0
90,Shri  Mahabal  Mishra,17,2
89,Shri  Ravneet  Singh,17,2
88,Shri  Sabbam  Hari,12,7
86,Shri  K Jayaprakash  Hegde,19,0
85,Shri  Vijay Inder  Singla,17,2
84,Shri  K.C.  Singh Baba,4,15
83,Shri  Ashok  Tanwar,17,2
82,Shri  Hamdullah  Sayeed,8,11
81,Shri  Mohammed  Azharuddin,16,3
80,Chaudhary  Lal  Singh,16,3
79,Shri  Madan Lal  Sharma,17,2
78,Shri  Vincent H.  Pala,2,17
77,Shri  Satpal  Maharaj,15,4
76,Shri  Madhu Goud  Yaskhi,13,6
75,Shri  Naveen  Jindal,15,4
74,Shri  Arun  Yadav,10,9
73,Shri  J.M.  Aaron Rashid,8,11
72,Shri  Sandeep  Dikshit,16,3
71,Shri  Lal Chand  Kataria,18,1
70,Dr.  Krupa Rani  Killi,18,1
69,Shri  P.  Balram  Naik,11,8
68,Smt.  Deepa  Dasmunsi,17,2
67,Shri  Ninong  Ering,14,5
66,Shri   Sarvey  Sathyanarayana,13,6
65,Smt.  Ranee  Narah,13,6
64,Shri  Adhir Ranjan  Chowdhury,14,5
63,Shri  A.H.   Khan  Choudhury,15,4
62,Shri  K. J.S.P.  Reddy,13,6
61,Shri  Rahul  Gandhi,8,11
60,Shri    Kodikunnil  Suresh,15,4
55,Dr.  Shashi  Tharoor,17,2
550,Smt.  Jat Poonamben  Veljibhai,17,2
549,Shri  Murarilal  Singh,13,6
548,Shri  Nalin Kumar  Kateel,18,1
547,Shri    Naranbhai   Kachhadia,19,0
546,Shri  Natubhai Gomanbhai  Patel,6,13
545,Shri  Nishikant  Dubey,19,0
544,Smt.  Jayshreeben  Kanubhai    Patel,17,2
542,Smt.  Jyoti  Dhurve,18,1
541,Smt.  Kamla Devi  Patle,17,2
540,Shri  Janardhana  Swamy,9,10
53,Shri  Pratik  Patil,8,11
539,Shri  K. D.  Deshmukh,19,0
538,Dr.  Kiritbhai  Premajibhai    Solanki,18,1
537,Shri  Lalubhai  B.  Patel,13,6
536,Shri  Madhusudan  Yadav,7,12
535,Shri  Chauhan  Mahendrasinh,19,0
534,Shri  Makhansingh  Solanki,19,0
533,Shri  Pradeep Kumar  Singh,14,5
532,Shri  Sonawane  Pratap Narayanrao,2,17
531,Shri  Shivraj  Bhaiya,19,0
530,Shri  A.T. Nana  Patil,13,6
529,Shri  Arjun Ram  Meghwal,19,0
528,Shri  B. Y.  Raghavendra,10,9
527,Shri  Balkrishna Khanderao  Shukla,9,10
526,Shri  C. R.  Patil,14,5
525,Shri  Devji M.  Patel,18,1
524,Dr.  Bhola  Singh,19,0
523,Shri  Devidhan  Besra,13,6
522,Shri  Dinesh  Kashyap,10,9
521,Shri  Pashupati Nath  Singh,17,2
520,Shri  Prabhatsinh  Pratapsinh Chauhan,19,0
519,Dr.  Sanjay  Jaiswal,16,3
518,Shri  Sudarshan  Bhagat,18,1
517,Shri  Bhupendra  Singh,17,2
516,Shri  Chandulal Sahu  Chandu Bhaiya,18,1
515,Shri  Dinubhai  Boghabhal   Solanki,4,15
514,Shri  Govind Prasad  Mishra,19,0
513,Shri  Uday  Singh,16,3
512,Shri  Bishnu Pada  Ray,12,7
511,Shri  Dushyant  Singh,16,3
510,Shri   G.M.  Siddeswara,10,9
509,Shri  Haribhau  Jawale,18,1
508,Shri  Harischandra Deoram  Chavan,19,0
507,Shri  Navjot Singh  Sidhu,9,10
506,Shri  P.C.  Gaddigoudar,18,1
505,Shri  Sanjay  Dhotre,18,1
504,Shri  Prahlad  Joshi,18,1
503,Shri  Kirti  Azad,19,0
502,Shri  Ravindra Kumar  Pandey,19,0
501,Shri  Ramesh Chandappa  Jigajinagi,19,0
500,Shri  Ramsinhbhai Patalbhai  Rathwa,12,7
499,Shri  Sohan  Potai,17,2
498,Shri  Hansraj Gangaram  Ahir,15,4
497,Shri  Rajen  Gohain,6,13
496,Shri  Raosaheb  Dadarao  Danve,10,9
495,Shri  Anurag Singh  Thakur,13,6
494,Shri  Rakesh  Singh,12,7
493,Shri  Ganesh  Singh,19,0
492,Shri    Virendra Kumar,19,0
491,Shri  Ashok  Argal,19,0
490,Shri  Lalji  Tandon,18,1
489,Shri  D.B. Chandre  Gowda,7,12
488,Shri  G.S.  Basavaraj,12,7
487,Shri  Mansukhbhai Dhanjibhai  Vasava,11,8
486,Shri  Ram Singh  Kaswan,19,0
485,Shri  Ramakant  Yadav,11,8
484,Shri  Anant Kumar  Hegde,15,4
483,Shri  Dilip Kumar Mansukhlal  Gandhi,9,10
482,Shri  Nikhil Kumar  Choudhary,18,1
481,Shri  Shripad Yesso  Naik,14,5
480,Shri  Radha Mohan  Singh,19,0
479,Shri  Vishnu Deo  Sai,18,1
478,Smt.  Yashodhara Raje  Scindia,17,2
477,Shri  Narendra Singh  Tomar,14,5
476,Shri  Rajendrasinh  Rana,15,4
475,Shri  Yogi  Adityanath,13,6
474,Smt.  Sumitra  Mahajan,16,3
473,Shri  Kailash  Joshi,18,1
471,Shri  Harin  Pathak,15,4
470,Smt.  Bijoya  Chakravarty,13,6
468,Shri  Kabindra  Purkayastha,15,4
467,Smt.  Maneka  Gandhi,16,3
466,Shri  Jaswant  Singh,16,3
465,Shri    Ananth Kumar,19,0
464,Shri  Ramesh  Bais,17,2
463,Shri  Yashwant  Sinha,17,2
462,Shri  Hukamdeo Narayan  Yadav,19,0
461,Shri  Syed Shahnawaz  Hussain,16,3
460,Shri  Shatrughan  Sinha,7,12
457,Shri  Lal Krishna  Advani,19,0
456,Shri   Gopinathrao  Pandurang   Munde,14,5
455,Shri  Rajnath  Singh,17,2
454,Dr.  Murli Manohar  Joshi,17,2
453,Shri  S.  Pakkirappa,9,10
452,Shri  Ramesh  Vishwanath   Katti,19,0
451,Dr.  Rajan  Sushant,18,1
450,Shri  Udasi Shivkumar  Chanabasappa,19,0
449,Shri  Shivarama  Gouda,17,2
448,Shri  Virender  Kashyap,14,5
447,Shri  Joseph  Toppo,13,6
446,Shri  Sher Singh  Ghubaya,14,5
445,Shri  Maheshwar  Hazari,18,1
444,Shri  Kaushalendra  Kumar,19,0
443,Smt.    Putul Kumari,19,0
442,Shri  Laxman  Tudu,9,10
441,Shri  Sidhant  Mohapatra,11,8
440,Shri   Raju Shetti,13,6
439,Shri    Varun  Gandhi,17,2
438,Shri  Rajendra  Agarwal,19,0
437,Prof.(Dr.)  Ram Shankar  Katheria,11,8
436,Shri  Kamlesh  Paswan,18,1
435,Shri   Bhausaheb  Rajaram   Wakchaure,15,4
434,Shri  Bhudeo  Choudhary,19,0
433,Smt.  Meena  Singh,14,5
432,Adv.   Ganeshrao  Nagorao Dudhgaonkar,19,0
431,Shri  Gajanan D.  Babar,14,5
429,Shri  Kristappa  Nimmala,14,5
428,Shri  Kalikesh N. Singh  Deo,14,5
