Division NO,Member Name,No.of days Members signed the Register,No.of days Members not signed the Register
Division NO,Member Name,No. of days Members signed the Register,No. of days Members not signed the Register
99,Shri  T.R.  Baalu,14,14
98,Shri  Sheesh Ram  Ola,27,1
97,Shri  P.  Viswanathan,16,12
94,Shri  Takam  Sanjoy,20,8
93,Shri  Mohammad Asrarul  Haque,28,0
92,Shri  Ismail Hussain,28,0
91,Shri  Ramesh  Kumar,28,0
90,Shri  Mahabal  Mishra,27,1
89,Shri  Ravneet  Singh,23,5
88,Shri  Sabbam  Hari,21,7
85,Shri  Vijay Inder  Singla,25,3
84,Shri  K.C.  Singh Baba,22,6
83,Shri  Ashok  Tanwar,25,3
82,Shri  Hamdullah  Sayeed,25,3
81,Shri  Mohammed  Azharuddin,21,7
80,Chaudhary  Lal  Singh,23,5
79,Shri  Madan Lal  Sharma,26,2
78,Shri  Vincent H.  Pala,21,7
78,Shri  Vijay  Bahuguna,27,1
77,Shri  Satpal  Maharaj,20,8
76,Shri  Madhu Goud  Yaskhi,26,2
75,Shri  Naveen  Jindal,20,8
73,Shri  J.M.  Aaron Rashid,26,2
72,Shri  Sandeep  Dikshit,25,3
71,Shri  Lal Chand  Kataria,28,0
70,Dr.  Krupa Rani  Killi,26,2
69,Shri  P.  Balram  Naik,20,8
68,Smt.  Deepa  Dasmunsi,16,12
67,Shri  Ninong  Ering,24,4
66,Shri   Sarvey  Sathyanarayana,24,4
65,Smt.  Ranee  Narah,26,2
64,Shri  Adhir Ranjan  Chowdhury,21,7
63,Shri  A.H.   Khan  Choudhury,21,7
62,Shri  K. J.S.P.  Reddy,8,20
61,Shri  Rahul  Gandhi,7,21
60,Shri    Kodikunnil  Suresh,23,5
59,Shri  Milind  Deora,26,2
58,Dr.  Charan Das  Mahant,28,0
55,Dr.  Shashi  Tharoor,23,5
550,Smt.  Jat Poonamben  Veljibhai,25,3
549,Shri  Murarilal  Singh,23,5
548,Shri  Nalin Kumar  Kateel,20,8
547,Shri    Naranbhai   Kachhadia,28,0
546,Shri  Natubhai Gomanbhai  Patel,14,14
545,Shri  Nishikant  Dubey,28,0
544,Smt.  Jayshreeben  Kanubhai    Patel,25,3
543,Ms.  J.  Shantha,26,2
542,Smt.  Jyoti  Dhurve,26,2
541,Smt.  Kamla Devi  Patle,24,4
540,Shri  Janardhana  Swamy,23,5
53,Shri  Pratik  Patil,21,7
539,Shri  K. D.  Deshmukh,20,8
538,Dr.  Kiritbhai  Premajibhai    Solanki,27,1
537,Shri  Lalubhai  B.  Patel,21,7
536,Shri  Madhusudan  Yadav,12,16
535,Shri  Chauhan  Mahendrasinh,28,0
534,Shri  Makhansingh  Solanki,26,2
533,Shri  Pradeep Kumar  Singh,19,9
532,Shri  Sonawane  Pratap Narayanrao,18,10
531,Shri  Shivraj  Bhaiya,24,4
530,Shri  A.T. Nana  Patil,25,3
529,Shri  Arjun Ram  Meghwal,28,0
528,Shri  B. Y.  Raghavendra,22,6
527,Shri  Balkrishna Khanderao  Shukla,16,12
526,Shri  C. R.  Patil,26,2
525,Shri  Devji M.  Patel,18,10
524,Dr.  Bhola  Singh,26,2
523,Shri  Devidhan  Besra,21,7
521,Shri  Pashupati Nath  Singh,23,5
520,Shri  Prabhatsinh  Pratapsinh Chauhan,25,3
519,Dr.  Sanjay  Jaiswal,26,2
