Division NO,Member Name,No.of days Members signed the Register,No.of days Members not signed the Register
518,Shri  Sudarshan  Bhagat,21,7
517,Shri  Bhupendra  Singh,24,4
516,Shri  Chandulal Sahu  Chandu Bhaiya,21,7
515,Shri  Dinubhai  Boghabhal   Solanki,1,27
514,Shri  Govind Prasad  Mishra,27,1
513,Shri  Uday  Singh,24,4
512,Shri  Bishnu Pada  Ray,24,4
511,Shri  Dushyant  Singh,21,7
510,Shri   G.M.  Siddeswara,22,6
509,Shri  Haribhau  Jawale,26,2
508,Shri  Harischandra Deoram  Chavan,27,1
507,Shri  Navjot Singh  Sidhu,1,27
506,Shri  P.C.  Gaddigoudar,24,4
505,Shri  Sanjay  Dhotre,23,5
504,Shri  Prahlad  Joshi,26,2
503,Shri  Kirti  Azad,28,0
502,Shri  Ravindra Kumar  Pandey,27,1
501,Shri  Ramesh Chandappa  Jigajinagi,25,3
500,Shri  Ramsinhbhai Patalbhai  Rathwa,24,4
499,Shri  Sohan  Potai,24,4
498,Shri  Hansraj Gangaram  Ahir,10,18
497,Shri  Rajen  Gohain,16,12
496,Shri  Raosaheb  Dadarao  Danve,21,7
495,Shri  Anurag Singh  Thakur,21,7
494,Shri  Rakesh  Singh,26,2
493,Shri  Ganesh  Singh,25,3
492,Shri    Virendra Kumar,28,0
491,Shri  Ashok  Argal,28,0
490,Shri  Lalji  Tandon,26,2
489,Shri  D.B. Chandre  Gowda,20,8
488,Shri  G.S.  Basavaraj,25,3
487,Shri  Mansukhbhai Dhanjibhai  Vasava,18,10
486,Shri  Ram Singh  Kaswan,19,9
485,Shri  Ramakant  Yadav,15,13
484,Shri  Anant Kumar  Hegde,24,4
483,Shri  Dilip Kumar Mansukhlal  Gandhi,9,19
482,Shri  Nikhil Kumar  Choudhary,25,3
481,Shri  Shripad Yesso  Naik,24,4
480,Shri  Radha Mohan  Singh,25,3
479,Shri  Vishnu Deo  Sai,10,18
478,Smt.  Yashodhara Raje  Scindia,18,10
478,Shri  D.V. Sadananda  Gowda,24,4
477,Shri  Narendra Singh  Tomar,18,10
476,Shri  Rajendrasinh  Rana,27,1
475,Shri  Yogi  Adityanath,20,8
474,Smt.  Sumitra  Mahajan,21,7
473,Shri  Kailash  Joshi,21,7
472,Shri  Arjun  Munda,16,12
471,Shri  Harin  Pathak,25,3
470,Smt.  Bijoya  Chakravarty,19,9
469,Shri  Dilip Singh  Judev,13,15
468,Shri  Kabindra  Purkayastha,22,6
467,Smt.  Maneka  Gandhi,19,9
466,Shri  Jaswant  Singh,21,7
465,Shri    Ananth Kumar,24,4
464,Shri  Ramesh  Bais,26,2
463,Shri  Yashwant  Sinha,28,0
462,Shri  Hukamdeo Narayan  Yadav,24,4
461,Shri  Syed Shahnawaz  Hussain,28,0
460,Shri  Shatrughan  Sinha,22,6
459,Shri  Karia  Munda,2,26
457,Shri  Lal Krishna  Advani,26,2
456,Shri   Gopinathrao  Pandurang   Munde,19,9
455,Shri  Rajnath  Singh,24,4
454,Dr.  Murli Manohar  Joshi,27,1
453,Shri  S.  Pakkirappa,19,9
452,Shri  Ramesh  Vishwanath   Katti,26,2
451,Dr.  Rajan  Sushant,27,1
450,Shri  Udasi Shivkumar  Chanabasappa,25,3
449,Shri  Shivarama  Gouda,27,1
448,Shri  Virender  Kashyap,25,3
447,Shri  Joseph  Toppo,15,13
446,Shri  Sher Singh  Ghubaya,20,8
445,Shri  Maheshwar  Hazari,28,0
444,Shri  Kaushalendra  Kumar,28,0
443,Smt.    Putul Kumari,26,2
442,Shri  Laxman  Tudu,18,10
441,Shri  Sidhant  Mohapatra,11,17
440,Shri   Raju Shetti,19,9
439,Shri    Varun  Gandhi,6,22
438,Shri  Rajendra  Agarwal,28,0
437,Prof.(Dr.)  Ram Shankar  Katheria,23,5
436,Shri  Kamlesh  Paswan,23,5
435,Shri   Bhausaheb  Rajaram   Wakchaure,23,5
434,Shri  Bhudeo  Choudhary,26,2
433,Smt.  Meena  Singh,26,2
432,Adv.   Ganeshrao  Nagorao Dudhgaonkar,28,0
431,Shri  Gajanan D.  Babar,27,1
429,Shri  Kristappa  Nimmala,17,11
428,Shri  Kalikesh N. Singh  Deo,19,9
427,Shri  Yashbant N.S.  Laguri,20,8
426,Kum.  Saroj  Pandey,16,12
425,Smt.  Darshana  Jardosh,24,4
424,Shri  Purnmasi  Ram,24,4
423,Shri  Mahabali  Singh,24,4
422,Shri  Subhash Bapurao  Wankhede,24,4
421,Shri  Nityananda  Pradhan,19,9
420,Dr.  Kirodi  Lal  Meena,27,1
419,Shri  Naramalli  Sivaprasad,20,8
418,Shri  Modugula Venugopala  Reddy,26,2
417,Shri  Hari  Manjhi,28,0
416,Shri  Jeetendra Singh  Bundela,28,0
415,Shri  P. C.  Mohan,22,6
414,Smt.  Aswamedh  Devi,24,4
413,Shri  Arjun  Roy,27,1
412,Shri   Prataprao  Ganpatrao Jadhav,19,9
411,Shri  A.  Ganeshamurthi,13,15
410,Shri  Rudramadhab  Ray,19,9
409,Shri  Jayaram  Pangi,22,6
408,Shri  K. Narayana  Rao,25,3
407,Shri  Nripendra Nath  Roy,11,17
406,Smt.    Rama Devi,19,9
405,Shri  Ramen  Deka,22,6
404,Shri  Angadi Suresh  Channabasappa,22,6
403,Shri  Baidyanath Prasad  Mahto,26,2
402,Shri  Vishwa Mohan  Kumar,26,2
400,Shri  Baijayant  Panda,17,11
3,Smt.  Sonia  Gandhi,12,16
39,Shri  Manish  Tewari,25,3
399,Shri  Pinaki  Misra,19,9
398,Ms.  M. Vijaya  Shanthi,8,20
397,Shri  Ramesh  Rathod,13,15
396,Shri  Narahari  Mahato,14,14
394,Shri  Sushil Kumar  Singh,18,10
393,Shri  Jagdish  Sharma,25,3
392,Shri  Anand Prakash  Paranjpe,22,6
391,Shri  Mohan  Jena,26,2
390,Smt.  Paramjit Kaur  Gulshan,28,0
38,Shri  Jitender  Singh,24,4
389,Smt.  Harsimrat Kaur  Badal,17,11
388,Shri  Nama Nageswara  Rao,26,2
387,Dr.  Monazir  Hassan,28,0
386,Capt.(Retd.)  Jainarayan Prasad  Nishad,27,1
385,Dr.  Ranjan Prasad  Yadav,28,0
384,Shri  Shivaji  Adhalrao Patil,12,16
383,Shri  Tathagata  Satpathy,13,15
382,Smt.  Jaya Prada  Nahata,8,20
381,Shri  Inder Singh  Namdhari,28,0
380,Shri   Mangani Lal  Mandal,28,0
379,Shri  Dinesh Chandra  Yadav,27,1
378,Smt.  Bhavana  Gawali,21,7
377,Shri  Prasanna  Kumar Patasani,20,8
376,Dr.  Rattan Singh  Ajnala,28,0
375,Shri  K. Chandrasekhar  Rao,8,20
374,Shri  Rajiv Ranjan  Singh  @ Lalan Singh,26,2
373,Shri  Anandrao  Adsul,26,2
372,Shri  Chandrakant  Khaire,25,3
371,Shri  P.  Karunakaran,16,12
370,Shri  Bhartruhari  Mahtab,27,1
369,Shri  Ram Sundar  Das,27,1
368,Shri  Anant Gangaram  Geete,8,20
367,Shri  Arjun Charan  Sethi,25,3
366,Shri  Sharad  Yadav,24,4
365,Shri  Basudeb  Acharia,23,5
364,Dr.  Tarun  Mondal,15,13
363,Shri  Mekapati Rajamohan  Reddy,14,14
362,Shri  Prasanta Kumar  Majumdar,10,18
361,Shri  Sakti  Mohan   Malik,26,2
360,Shri  Bibhu Prasad  Tarai,24,4
359,Shri  Kadir  Rana,11,17
358,Shri  Surendra Singh  Nagar,9,19
357,Shri  Kapil Muni  Karwariya,27,1
356,Shri  Radhey Mohan  Singh,15,13
355,Shri  Yashvir  Singh,28,0
354,Shri    Mithlesh Kumar,26,2
353,Shri  Kabir  Suman,10,18
352,Dr.  Ratna  De (Nag),18,10
351,Dr.  Padamsinha  Bajirao  Patil,20,8
350,Shri  P.  Kumar,19,9
349,Shri  P.  Lingam,26,2
348,Shri  M. B.  Rajesh,22,6
347,Shri  P. K.  Biju,24,4
346,Shri  Ramashankar  Rajbhar,28,0
345,Shri  Deoraj Singh  Patel,27,1
344,Shri  Arvind Kumar  Chaudhary,26,2
343,Shri  Kamlesh  Balmiki,26,2
342,Shri  Ghanshyam  Anuragi,25,3
341,Shri  Pakauri  Lal,25,3
340,Dr.  Sucharu Ranjan  Haldar,2,26
339,Shri  Tapas  Paul,25,3
338,Smt.  Satabdi  Roy,25,3
337,Shri  C.  Sivasami,21,7
336,Shri  Mahendra Kumar  Roy,24,4
335,Sk.   Saidul  Haque,28,0
334,Shri  Gorakh Prasad  Jaiswal,22,6
333,Shri  Rakesh  Pandey,24,4
332,Shri  Bal Kumar  Patel,27,1
331,Smt.  Usha  Verma,22,6
330,Shri    Suvendu   Adhikari,7,21
329,Shri  Ambica  Banerjee,27,1
328,Shri  K.  Sugumar,19,9
327,Shri  Pulin Bihari  Baske,26,2
326,Dr.  Anup Kumar  Saha,27,1
325,Smt.  Susmita  Bauri,28,0
324,Shri  Dhananjay  Singh,19,9
323,Shri    Gorakhnath  Pandey,23,5
322,Shri  Neeraj  Shekhar,25,3
321,Shri  Dharmendra  Yadav,23,5
320,Shri  Premdas  Katheria,25,3
319,Shri  Gobinda Chandra  Naskar,27,1
318,Shri  Dinesh  Trivedi,20,8
317,Shri  M.  Anandan,20,8
316,Shri  Manohar  Tirkey,12,16
315,Adv.  A.  Sampath,20,8
314,Shri  P.R.  Natarajan,27,1
313,Smt.  Kaisar  Jahan,24,4
312,Smt.  Raj Kumari  Chauhan,22,6
311,Shri  Rakesh  Sachan,26,2
310,Shri    Ramkishun,21,7
30,Smt.  Chandresh  Kumari,18,10
309,Shri  S.K. Nurul  Islam,13,15
306,Shri  C.  Rajendran,5,23
306,Shri    Bhajan Lal,17,11
305,Shri  P.  Venugopal,23,5
304,Shri  Bansagopal  Chowdhury,14,14
303,Shri  Prabodh  Panda,23,5
302,Smt. Tabassum  Hasan,22,6
301,Smt.  Seema  Upadhyay,23,5
300,Smt.  Sushila  Saroj,19,9
29,Shri  Harish  Rawat,27,1
299,Shri  R.K. Singh  Patel,24,4
298,Shri  O. S.  Manian,1,27
297,Shri  Khagen  Das,27,1
296,Dr.  Ram Chandra  Dome,22,6
295,Shri  Vijay Bahadur  Singh,27,1
294,Shri  Jagdish Singh  Rana,23,5
293,Shri  Tufani  Saroj,22,6
292,Shri  Brij Bhushan Sharan  Singh,25,3
290,Shri  S.  Semmalai,17,11
289,Shri  Baju Ban  Riyan,27,1
288,Dr.  Shafiqur Rahman  Barq,27,1
287,Shri  Ashok Kumar  Rawat,23,5
286,Shri  Akhilesh  Yadav,20,8
285,Dr.  M.  Thambidurai,16,12
284,Shri  Bhisma  Shankar Alias Kushal Tiwari,25,3
283,Shri  Shailendra  Kumar,24,4
280,Shri  Gurudas  Das Gupta,26,2
279,Dr.    Bali Ram,27,1
278,Kunwar  Rewati Raman  Singh,21,7
277,Shri  H.D.  Devegowda,28,0
276,Shri  Mulayam Singh  Yadav,26,2
275,Shri  C. L.  Ruala,26,2
274,Shri  Sanjay  Bhoi,15,13
273,Shri  Hemanand  Biswal,25,3
272,Shri  Amarnath  Pradhan,12,16
271,Shri  Pradeep  Majhi,23,5
270,Shri  Thangso  Baite,28,0
269,Dr.  Nilesh N.  Rane,18,10
268,Shri  Jaywant  Gangaram   Awale,26,2
267,Shri   Suresh  Kashinath   Taware,27,1
266,Shri  Marotrao  Sainuji   Kowase,28,0
265,Shri  Premchand  Guddu,23,5
264,Shri  Uday Pratap  Singh,26,2
263,Shri  S. R.  Jeyadurai,11,17
262,Smt.  J. Helen Davidson,21,7
261,Shri  Uma Shanaker  Singh,27,1
260,Shri  Jagada Nand  Singh,26,2
259,Shri   Baliram  Jadhav,28,0
258,Shri  C. M.  Chang,24,4
257,Shri  Prem Das  Rai,24,4
255,Shri  N. Cheluvaraya Swamy,24,4
253,Shri  Jose K.  Mani,17,11
252,Shri  Narayan Singh  Amlabe,28,0
251,Shri  Sanjay Dina  Patil,23,5
250,Shri    Sivakumar @  Ritheesh,4,24
24,Shri  V. Kishore Chandra S.  Deo,27,1
249,Shri  Om Prakash  Yadav,22,6
248,Shri  N.  Peethambarakurup,24,4
247,Shri  Anto  Antony,25,3
246,Shri  M. I.  Shanavas,10,18
245,Adv.  P. T.  Thomas,28,0
244,Shri  Partap Singh  Bajwa,26,2
243,Shri  Mohinder Singh  Kaypee,27,1
242,Shri  Charles  Dias,28,0
240,Shri  Zafar Ali  Naqvi,28,0
239,Shri  Bharat Ram  Meghwal,24,4
238,Shri  Raja Ram  Pal,24,4
237,Shri  Ratan  Singh,28,0
236,Shri  Khiladi Lal  Bairwa,28,0
235,Shri  Badri Ram  Jakhar,26,2
234,Shri  Harish  Choudhary,27,1
233,Shri  Raghuvir Singh  Meena,27,1
232,Shri  Gopal  Singh  Shekhawat,26,2
231,Shri  E. T. Muhammed  Basheer,10,18
230,Shri  Ijyaraj  Singh,28,0
229,Shri  Mahesh  Joshi,28,0
228,Shri  Sharief Ud Din  Shariq,25,3
227,Shri  S. S.  Ramasubbu,28,0
226,Shri  Pradeep  Tamta,28,0
225,Shri  Praveen Singh  Aron,24,4
224,Shri  Harsh  Vardhan,26,2
223,"Dr.  Vinay Kumar  Panday ""Vinnu""",26,2
222,Shri  Kamal  Kishor   Commando,28,0
221,Shri  P.L.  Punia,27,1
220,Shri  Jitendra  Singh Malik,20,8
219,Shri  Rajaiah  Siricilla,28,0
218,Shri  K. R. G.  Reddy,23,5
217,Dr.  Kakoli Ghosh  Dastidar,15,13
215,Shri  H.D.  Kumaraswamy,14,14
214,Shri  N.Dharam  Singh,17,11
213,Shri  Jagdambika  Pal,28,0
212,Shri  Mirza Mehboob  Beg,28,0
211,Shri  Babu Lal  Marandi,5,23
210,Shri  Badruddin  Ajmal,8,20
208,Shri  Somendranath  Mitra,12,16
207,Shri    Abdul Rahman,10,18
206,Shri  R.  Thamaraiselvan,21,7
205,Shri  Sadashivrao Dadoba  Mandlik,14,14
204,Shri  Hassan  Khan,27,1
203,Dr.  Raghuvansh Prasad  Singh,28,0
202,Shri  Sansuma Khunggur  Bwiswmuthiary,18,10
201,Shri  Asaduddin  Owaisi,25,3
200,Dr.  Sanjeev Ganesh  Naik,25,3
199,Shri    Adhi Sankar,13,15
198,Shri  E.G.  Sugavanam,11,17
197,Shri  A.K.S.  Vijayan,7,21
196,Shri  Kalyan  Banerjee,20,8
195,Shri  D.  Venugopal,5,23
194,Shri  Sameer  Bhujbal,11,17
193,Shri   Udayanraje  Bhonsle,20,8
192,Smt.  Supriya  Sule,27,1
191,Shri  Sudip  Bandyopadhyay,22,6
190,Shri  T.K.S.  Elangovan,18,10
189,Shri  Shibu  Soren,8,20
188,Shri    Lalu Prasad,19,9
187,Shri  Dara Singh  Chauhan,27,1
186,Shri  K. P.  Dhanapalan,28,0
185,Shri  M. K.  Raghavan,23,5
183,Shri  K.  Sudhakaran,17,11
182,Shri  R.  Dhruvanarayana,26,2
181,Shri  Adagooru  Vishwanath,15,13
180,Shri  Jagdish  Thakor,14,14
179,Shri  Mukeshkumar  Bheiravdanji  Gadhvi,22,6
178,Shri  Suresh Kumar  Shetkar,28,0
177,Dr.  G.  Vivekanand,22,6
176,Shri   Vitthalbhai  Harnsrajbhai   Radadiya,7,21
175,Shri  Kuvarjibhai Mohanbhai  Bavalia,16,12
174,Shri  Basori Singh  Masram,24,4
173,Shri  S.  Alagiri,18,10
172,Shri  Abdul Mannan  Hossain,21,7
171,Shri  Sajjan Singh  Verma,26,2
170,Shri  Prabhakar  Ponnam,28,0
169,Shri  Manicka  Tagore,26,2
168,Shri  Devendra  Nagpal,17,11
167,Dr.  Jyoti  Mirdha,27,1
166,Smt.  Meenakshi  Natrajan,27,1
165,Smt.  Annu  Tandon,26,2
164,Smt.  Sarika  D.S. Baghel,27,1
163,Ms.  Mausam  Noor,22,6
162,Smt.  Rajesh Nandini  Singh,28,0
161,Dr.  Prabha Kishore  Taviad,27,1
160,Smt.  Shruti  Choudhry,25,3
158,Dr.  Nirmal  Khatri,28,0
157,Shri  M.  Krishnaswamy,24,4
156,Dr.  Thokchom  Meinya,28,0
155,Shri  Eknath  Gaikwad,28,0
154,Shri  Kishan V.  Patel,28,0
153,Shri    Bapiraju  Kanumuru,27,1
152,Smt.  Ingrid  Mcleod,28,0
151,Smt.    Botcha Jhansi Lakshmi,27,1
150,Shri    Lagadapati   Rajagopal,27,1
14,Shri  Paban Singh  Ghatowar,19,9
149,Shri  Vikrambhai Arjanbhai  Maadam    Ahir,23,5
148,Shri  Lalit  Mohan  Suklabaidya,24,4
147,Shri  S.P.Y.  Reddy,3,25
146,Shri  Aruna Kumar  Vundavalli,28,0
145,Shri  G.V.  Harsha Kumar,25,3
144,Shri  Gutha  Sukender Reddy,24,4
143,Shri  Anjan Kumar  Yadav. M,27,1
142,Shri  Sanjay Singh  Chauhan,28,0
141,Shri  Gajendra Singh  Rajukhedi,13,15
140,Sardar  Sukhdev  Singh    Libra,28,0
139,Smt.  Santosh  Chowdhary,24,4
138,Smt.  Priya  Dutt,22,6
137,Rajkumari  Ratna  Singh,22,6
135,Shri  Tarachand  Bhagora,17,11
134,Shri  Bhakta Charan  Das,27,1
133,Shri  Deepender Singh  Hooda,24,4
132,Shri  Bhaskarrao  Patil  Khatgaonkar,24,4
131,Shri  Jayant  Chaudhary,24,4
130,Dr.  Sanjay  Singh,18,10
129,Dr.  Arvind Kumar  Sharma,17,11
128,Shri  N.S.V.  Chitthan,25,3
127,Shri  Magunta Srinivasulu  Reddy,16,12
126,Shri  Francisco  Sardinha,27,1
124,Shri  Dip  Gogoi,21,7
123,Shri  Sanjay  Nirupam,25,3
121,Shri  Inderjit Singh  Rao,28,0
120,Dr.  Girija  Vyas,27,1
11,Shri  Ajit  Singh,11,17
119,Shri  P.C.  Chacko,28,0
118,Shri  Avtar Singh  Bhadana,16,12
117,Shri  Somabhai Gandalal Koli  Patel,23,5
116,Shri  A. Venkatarami  Reddy,18,10
115,Dr.  Manda  Jagannath,24,4
114,Shri  Raj  Babbar,21,7
113,Shri   Rayapati S.  Rao,12,16
112,Shri  Datta  Meghe,26,2
110,Shri  Jai Prakash  Agarwal,28,0
108,Dr.  Kavuri Samba Siva  Rao,26,2
107,Shri  Biren Singh  Engti,19,9
106,Dr.    Chinta Mohan,22,6
102,Shri  Suresh  Kalmadi,10,18
101,Shri  Manikrao Hodlya  Gavit,28,0
100,Shri  Vilasrao Baburao  Muttemwar,23,5
