Division NO,Member Name,No.of days Members signed the Register,No.of days Members not signed the Register
Division NO,Member Name,No. of days Members signed the Register,No. of days Members not signed the Register
99,Shri  T.R.  Baalu,23,3
98,Shri  Sheesh Ram  Ola,25,1
97,Shri  P.  Viswanathan,16,10
94,Shri  Takam  Sanjoy,21,5
93,Shri  Mohammad Asrarul  Haque,25,1
92,Shri  Ismail Hussain,26,0
91,Shri  Ramesh  Kumar,26,0
90,Shri  Mahabal  Mishra,23,3
89,Shri  Ravneet  Singh,18,8
88,Shri  Sabbam  Hari,25,1
85,Shri  Vijay Inder  Singla,19,7
84,Shri  K.C.  Singh Baba,18,8
83,Shri  Ashok  Tanwar,22,4
82,Shri  Hamdullah  Sayeed,24,2
81,Shri  Mohammed  Azharuddin,22,4
80,Chaudhary  Lal  Singh,25,1
79,Shri  Madan Lal  Sharma,26,0
78,Shri  Vijay  Bahuguna,24,2
77,Shri  Satpal  Maharaj,23,3
76,Shri  Madhu Goud  Yaskhi,23,3
75,Shri  Naveen  Jindal,22,4
73,Shri  J.M.  Aaron Rashid,8,18
72,Shri  Sandeep  Dikshit,24,2
71,Shri  Lal Chand  Kataria,23,3
70,Dr.  Krupa Rani  Killi,23,3
69,Shri  P.  Balram  Naik,20,6
68,Smt.  Deepa  Dasmunsi,23,3
67,Shri  Ninong  Ering,24,2
66,Shri   Sarvey  Sathyanarayana,23,3
65,Smt.  Ranee  Narah,25,1
64,Shri  Adhir Ranjan  Chowdhury,24,2
63,Shri  A.H.   Khan  Choudhury,24,2
62,Shri  K. J.S.P.  Reddy,11,15
61,Shri  Rahul  Gandhi,11,15
60,Shri    Kodikunnil  Suresh,19,7
59,Shri  Milind  Deora,21,5
58,Dr.  Charan Das  Mahant,24,2
57,Shri  K. C.  Venugopal,22,4
55,Dr.  Shashi  Tharoor,19,7
550,Smt.  Jat Poonamben  Veljibhai,23,3
549,Shri  Murarilal  Singh,18,8
548,Shri  Nalin Kumar  Kateel,17,9
547,Shri    Naranbhai   Kachhadia,25,1
546,Shri  Natubhai Gomanbhai  Patel,5,21
545,Shri  Nishikant  Dubey,25,1
544,Smt.  Jayshreeben  Kanubhai    Patel,17,9
543,Ms.  J.  Shantha,19,7
542,Smt.  Jyoti  Dhurve,24,2
541,Smt.  Kamla Devi  Patle,24,2
540,Shri  Janardhana  Swamy,14,12
53,Shri  Pratik  Patil,16,10
539,Shri  K. D.  Deshmukh,24,2
538,Dr.  Kiritbhai  Premajibhai    Solanki,24,2
537,Shri  Lalubhai  B.  Patel,12,14
536,Shri  Madhusudan  Yadav,12,14
535,Shri  Chauhan  Mahendrasinh,26,0
534,Shri  Makhansingh  Solanki,26,0
533,Shri  Pradeep Kumar  Singh,20,6
532,Shri  Sonawane  Pratap Narayanrao,18,8
531,Shri  Shivraj  Bhaiya,24,2
530,Shri  A.T. Nana  Patil,24,2
529,Shri  Arjun Ram  Meghwal,26,0
528,Shri  B. Y.  Raghavendra,16,10
527,Shri  Balkrishna Khanderao  Shukla,15,11
526,Shri  C. R.  Patil,22,4
525,Shri  Devji M.  Patel,20,6
524,Dr.  Bhola  Singh,25,1
523,Shri  Devidhan  Besra,22,4
521,Shri  Pashupati Nath  Singh,26,0
520,Shri  Prabhatsinh  Pratapsinh Chauhan,20,6
519,Dr.  Sanjay  Jaiswal,21,5
518,Shri  Sudarshan  Bhagat,26,0
517,Shri  Bhupendra  Singh,22,4
516,Shri  Chandulal Sahu  Chandu Bhaiya,26,0
514,Shri  Govind Prasad  Mishra,22,4
513,Shri  Uday  Singh,13,13
512,Shri  Bishnu Pada  Ray,20,6
511,Shri  Dushyant  Singh,22,4
510,Shri   G.M.  Siddeswara,16,10
509,Shri  Haribhau  Jawale,25,1
508,Shri  Harischandra Deoram  Chavan,25,1
507,Shri  Navjot Singh  Sidhu,14,12
506,Shri  P.C.  Gaddigoudar,17,9
505,Shri  Sanjay  Dhotre,23,3
504,Shri  Prahlad  Joshi,13,13
503,Shri  Kirti  Azad,25,1
502,Shri  Ravindra Kumar  Pandey,26,0
501,Shri  Ramesh Chandappa  Jigajinagi,24,2
500,Shri  Ramsinhbhai Patalbhai  Rathwa,25,1
499,Shri  Sohan  Potai,21,5
498,Shri  Hansraj Gangaram  Ahir,22,4
497,Shri  Rajen  Gohain,14,12
496,Shri  Raosaheb  Dadarao  Danve,15,11
495,Shri  Anurag Singh  Thakur,25,1
494,Shri  Rakesh  Singh,26,0
493,Shri  Ganesh  Singh,21,5
492,Shri    Virendra Kumar,26,0
491,Shri  Ashok  Argal,25,1
490,Shri  Lalji  Tandon,17,9
489,Shri  D.B. Chandre  Gowda,17,9
488,Shri  G.S.  Basavaraj,18,8
487,Shri  Mansukhbhai Dhanjibhai  Vasava,26,0
486,Shri  Ram Singh  Kaswan,24,2
485,Shri  Ramakant  Yadav,7,19
484,Shri  Anant Kumar  Hegde,22,4
483,Shri  Dilip Kumar Mansukhlal  Gandhi,22,4
482,Shri  Nikhil Kumar  Choudhary,25,1
481,Shri  Shripad Yesso  Naik,24,2
480,Shri  Radha Mohan  Singh,18,8
