Division NO,Member Name,No.of days Members signed the Register,No.of days Members not signed the Register
47,Shri  Jitin  Prasad,1,25
479,Shri  Vishnu Deo  Sai,16,10
478,Smt.  Yashodhara Raje  Scindia,11,15
478,Shri  D.V. Sadananda  Gowda,15,11
477,Shri  Narendra Singh  Tomar,21,5
476,Shri  Rajendrasinh  Rana,24,2
475,Shri  Yogi  Adityanath,22,4
474,Smt.  Sumitra  Mahajan,22,4
473,Shri  Kailash  Joshi,21,5
472,Shri  Arjun  Munda,19,7
471,Shri  Harin  Pathak,22,4
470,Smt.  Bijoya  Chakravarty,24,2
469,Shri  Dilip Singh  Judev,20,6
468,Shri  Kabindra  Purkayastha,23,3
467,Smt.  Maneka  Gandhi,19,7
466,Shri  Jaswant  Singh,21,5
465,Shri    Ananth Kumar,20,6
464,Shri  Ramesh  Bais,23,3
463,Shri  Yashwant  Sinha,25,1
462,Shri  Hukamdeo Narayan  Yadav,25,1
461,Shri  Syed Shahnawaz  Hussain,21,5
460,Shri  Shatrughan  Sinha,20,6
457,Shri  Lal Krishna  Advani,26,0
456,Shri   Gopinathrao  Pandurang   Munde,25,1
455,Shri  Rajnath  Singh,19,7
454,Dr.  Murli Manohar  Joshi,22,4
453,Shri  S.  Pakkirappa,22,4
452,Shri  Ramesh  Vishwanath   Katti,17,9
451,Dr.  Rajan  Sushant,23,3
450,Shri  Udasi Shivkumar  Chanabasappa,23,3
449,Shri  Shivarama  Gouda,24,2
448,Shri  Virender  Kashyap,23,3
447,Shri  Joseph  Toppo,12,14
446,Shri  Sher Singh  Ghubaya,18,8
445,Shri  Maheshwar  Hazari,23,3
444,Shri  Kaushalendra  Kumar,24,2
442,Shri  Laxman  Tudu,11,15
441,Shri  Sidhant  Mohapatra,19,7
440,Shri   Raju Shetti,23,3
439,Shri    Varun  Gandhi,21,5
438,Shri  Rajendra  Agarwal,26,0
437,Prof.(Dr.)  Ram Shankar  Katheria,19,7
436,Shri  Kamlesh  Paswan,20,6
435,Shri   Bhausaheb  Rajaram   Wakchaure,13,13
434,Shri  Bhudeo  Choudhary,22,4
433,Smt.  Meena  Singh,18,8
432,Adv.   Ganeshrao  Nagorao Dudhgaonkar,26,0
431,Shri  Gajanan D.  Babar,19,7
430,Shri  Y.S.Jagan Mohan  Reddy,15,11
429,Shri  Kristappa  Nimmala,24,2
428,Shri  Kalikesh N. Singh  Deo,22,4
427,Shri  Yashbant N.S.  Laguri,20,6
426,Kum.  Saroj  Pandey,21,5
425,Smt.  Darshana  Jardosh,24,2
424,Shri  Purnmasi  Ram,23,3
423,Shri  Mahabali  Singh,23,3
422,Shri  Subhash Bapurao  Wankhede,19,7
421,Shri  Nityananda  Pradhan,21,5
420,Dr.  Kirodi  Lal  Meena,25,1
419,Shri  Naramalli  Sivaprasad,15,11
418,Shri  Modugula Venugopala  Reddy,17,9
417,Shri  Hari  Manjhi,22,4
416,Shri  Jeetendra Singh  Bundela,25,1
415,Shri  P. C.  Mohan,17,9
414,Smt.  Aswamedh  Devi,17,9
413,Shri  Arjun  Roy,20,6
412,Shri   Prataprao  Ganpatrao Jadhav,21,5
411,Shri  A.  Ganeshamurthi,20,6
410,Shri  Rudramadhab  Ray,21,5
409,Shri  Jayaram  Pangi,13,13
408,Shri  K. Narayana  Rao,23,3
407,Shri  Nripendra Nath  Roy,19,7
406,Smt.    Rama Devi,22,4
405,Shri  Ramen  Deka,23,3
404,Shri  Angadi Suresh  Channabasappa,14,12
403,Shri  Baidyanath Prasad  Mahto,21,5
402,Shri  Vishwa Mohan  Kumar,18,8
400,Shri  Baijayant  Panda,14,12
3,Smt.  Sonia  Gandhi,9,17
39,Shri  Manish  Tewari,25,1
399,Shri  Pinaki  Misra,23,3
398,Ms.  M. Vijaya  Shanthi,2,24
397,Shri  Ramesh  Rathod,14,12
396,Shri  Narahari  Mahato,19,7
394,Shri  Sushil Kumar  Singh,18,8
393,Shri  Jagdish  Sharma,24,2
392,Shri  Anand Prakash  Paranjpe,9,17
391,Shri  Mohan  Jena,24,2
390,Smt.  Paramjit Kaur  Gulshan,25,1
38,Shri  Jitender  Singh,20,6
389,Smt.  Harsimrat Kaur  Badal,22,4
388,Shri  Nama Nageswara  Rao,24,2
387,Dr.  Monazir  Hassan,17,9
386,Capt.(Retd.)  Jainarayan Prasad  Nishad,22,4
385,Dr.  Ranjan Prasad  Yadav,14,12
384,Shri  Shivaji  Adhalrao Patil,12,14
383,Shri  Tathagata  Satpathy,21,5
382,Smt.  Jaya Prada  Nahata,11,15
381,Shri  Inder Singh  Namdhari,24,2
380,Shri   Mangani Lal  Mandal,26,0
379,Shri  Dinesh Chandra  Yadav,19,7
378,Smt.  Bhavana  Gawali,16,10
377,Shri  Prasanna  Kumar Patasani,16,10
376,Dr.  Rattan Singh  Ajnala,26,0
375,Shri  K. Chandrasekhar  Rao,2,24
374,Shri  Rajiv Ranjan  Singh  @ Lalan Singh,23,3
373,Shri  Anandrao  Adsul,19,7
372,Shri  Chandrakant  Khaire,22,4
371,Shri  P.  Karunakaran,18,8
370,Shri  Bhartruhari  Mahtab,24,2
36,Shri  Sachin  Pilot,3,23
369,Shri  Ram Sundar  Das,17,9
368,Shri  Anant Gangaram  Geete,4,22
367,Shri  Arjun Charan  Sethi,25,1
366,Shri  Sharad  Yadav,17,9
365,Shri  Basudeb  Acharia,21,5
364,Dr.  Tarun  Mondal,16,10
363,Shri  Mekapati Rajamohan  Reddy,20,6
362,Shri  Prasanta Kumar  Majumdar,24,2
361,Shri  Sakti  Mohan   Malik,26,0
360,Shri  Bibhu Prasad  Tarai,24,2
359,Shri  Kadir  Rana,20,6
358,Shri  Surendra Singh  Nagar,25,1
357,Shri  Kapil Muni  Karwariya,23,3
356,Shri  Radhey Mohan  Singh,19,7
355,Shri  Yashvir  Singh,21,5
354,Shri    Mithlesh Kumar,24,2
353,Shri  Kabir  Suman,4,22
352,Dr.  Ratna  De (Nag),25,1
351,Dr.  Padamsinha  Bajirao  Patil,20,6
350,Shri  P.  Kumar,21,5
349,Shri  P.  Lingam,23,3
348,Shri  M. B.  Rajesh,24,2
347,Shri  P. K.  Biju,20,6
346,Shri  Ramashankar  Rajbhar,26,0
345,Shri  Deoraj Singh  Patel,26,0
344,Shri  Arvind Kumar  Chaudhary,24,2
343,Shri  Kamlesh  Balmiki,23,3
342,Shri  Ghanshyam  Anuragi,25,1
341,Shri  Pakauri  Lal,23,3
340,Dr.  Sucharu Ranjan  Haldar,25,1
339,Shri  Tapas  Paul,18,8
338,Smt.  Satabdi  Roy,18,8
337,Shri  C.  Sivasami,19,7
336,Shri  Mahendra Kumar  Roy,26,0
335,Sk.   Saidul  Haque,23,3
334,Shri  Gorakh Prasad  Jaiswal,22,4
333,Shri  Rakesh  Pandey,21,5
332,Shri  Bal Kumar  Patel,23,3
331,Smt.  Usha  Verma,25,1
330,Shri    Suvendu   Adhikari,4,22
329,Shri  Ambica  Banerjee,20,6
328,Shri  K.  Sugumar,25,1
327,Shri  Pulin Bihari  Baske,20,6
326,Dr.  Anup Kumar  Saha,22,4
325,Smt.  Susmita  Bauri,26,0
324,Shri  Dhananjay  Singh,23,3
323,Shri    Gorakhnath  Pandey,26,0
322,Shri  Neeraj  Shekhar,26,0
321,Shri  Dharmendra  Yadav,21,5
320,Shri  Premdas  Katheria,26,0
319,Shri  Gobinda Chandra  Naskar,24,2
318,Shri  Dinesh  Trivedi,16,10
317,Shri  M.  Anandan,26,0
316,Shri  Manohar  Tirkey,14,12
315,Adv.  A.  Sampath,20,6
314,Shri  P.R.  Natarajan,22,4
313,Smt.  Kaisar  Jahan,20,6
312,Smt.  Raj Kumari  Chauhan,25,1
311,Shri  Rakesh  Sachan,21,5
310,Shri    Ramkishun,26,0
30,Smt.  Chandresh  Kumari,24,2
309,Shri  S.K. Nurul  Islam,14,12
307,Shri  Madhu  Koda,21,5
306,Shri  C.  Rajendran,19,7
306,Shri    Bhajan Lal,15,11
305,Shri  P.  Venugopal,25,1
304,Shri  Bansagopal  Chowdhury,18,8
303,Shri  Prabodh  Panda,23,3
302,Smt. Tabassum  Hasan,21,5
301,Smt.  Seema  Upadhyay,23,3
300,Smt.  Sushila  Saroj,26,0
29,Shri  Harish  Rawat,25,1
299,Shri  R.K. Singh  Patel,22,4
298,Shri  O. S.  Manian,16,10
297,Shri  Khagen  Das,21,5
296,Dr.  Ram Chandra  Dome,19,7
295,Shri  Vijay Bahadur  Singh,22,4
294,Shri  Jagdish Singh  Rana,24,2
293,Shri  Tufani  Saroj,25,1
292,Shri  Brij Bhushan Sharan  Singh,22,4
291,Shri  Kalyan  Singh,14,12
290,Shri  S.  Semmalai,25,1
289,Shri  Baju Ban  Riyan,20,6
288,Dr.  Shafiqur Rahman  Barq,26,0
287,Shri  Ashok Kumar  Rawat,25,1
286,Shri  Akhilesh  Yadav,20,6
285,Dr.  M.  Thambidurai,24,2
284,Shri  Bhisma  Shankar Alias Kushal Tiwari,24,2
283,Shri  Shailendra  Kumar,26,0
280,Shri  Gurudas  Das Gupta,15,11
279,Dr.    Bali Ram,25,1
278,Kunwar  Rewati Raman  Singh,13,13
277,Shri  H.D.  Devegowda,23,3
276,Shri  Mulayam Singh  Yadav,24,2
275,Shri  C. L.  Ruala,26,0
274,Shri  Sanjay  Bhoi,26,0
273,Shri  Hemanand  Biswal,22,4
272,Shri  Amarnath  Pradhan,25,1
271,Shri  Pradeep  Majhi,10,16
270,Shri  Thangso  Baite,26,0
269,Dr.  Nilesh N.  Rane,22,4
268,Shri  Jaywant  Gangaram   Awale,26,0
267,Shri   Suresh  Kashinath   Taware,26,0
266,Shri  Marotrao  Sainuji   Kowase,26,0
265,Shri  Premchand  Guddu,19,7
264,Shri  Uday Pratap  Singh,25,1
263,Shri  S. R.  Jeyadurai,17,9
262,Smt.  J. Helen Davidson,21,5
261,Shri  Uma Shanaker  Singh,24,2
260,Shri  Jagada Nand  Singh,25,1
25,Shri  Beni Prasad  Verma,26,0
259,Shri   Baliram  Jadhav,24,2
258,Shri  C. M.  Chang,26,0
257,Shri  Prem Das  Rai,25,1
256,Shri  Thol Thirumaavalavan,3,23
255,Shri  N. Cheluvaraya Swamy,21,5
253,Shri  Jose K.  Mani,19,7
252,Shri  Narayan Singh  Amlabe,24,2
251,Shri  Sanjay Dina  Patil,23,3
250,Shri    Sivakumar @  Ritheesh,13,13
24,Shri  V. Kishore Chandra S.  Deo,26,0
249,Shri  Om Prakash  Yadav,18,8
248,Shri  N.  Peethambarakurup,23,3
247,Shri  Anto  Antony,20,6
246,Shri  M. I.  Shanavas,22,4
245,Adv.  P. T.  Thomas,26,0
244,Shri  Partap Singh  Bajwa,20,6
243,Shri  Mohinder Singh  Kaypee,21,5
242,Shri  Charles  Dias,25,1
240,Shri  Zafar Ali  Naqvi,22,4
239,Shri  Bharat Ram  Meghwal,20,6
238,Shri  Raja Ram  Pal,23,3
237,Shri  Ratan  Singh,26,0
236,Shri  Khiladi Lal  Bairwa,25,1
235,Shri  Badri Ram  Jakhar,22,4
234,Shri  Harish  Choudhary,23,3
233,Shri  Raghuvir Singh  Meena,12,14
232,Shri  Gopal  Singh  Shekhawat,22,4
231,Shri  E. T. Muhammed  Basheer,21,5
229,Shri  Mahesh  Joshi,25,1
228,Shri  Sharief Ud Din  Shariq,21,5
227,Shri  S. S.  Ramasubbu,23,3
226,Shri  Pradeep  Tamta,24,2
225,Shri  Praveen Singh  Aron,16,10
224,Shri  Harsh  Vardhan,26,0
223,"Dr.  Vinay Kumar  Panday ""Vinnu""",18,8
222,Shri  Kamal  Kishor   Commando,26,0
221,Shri  P.L.  Punia,26,0
220,Shri  Jitendra  Singh Malik,14,12
219,Shri  Rajaiah  Siricilla,23,3
218,Shri  K. R. G.  Reddy,21,5
217,Dr.  Kakoli Ghosh  Dastidar,22,4
215,Shri  H.D.  Kumaraswamy,16,10
214,Shri  N.Dharam  Singh,21,5
213,Shri  Jagdambika  Pal,26,0
212,Shri  Mirza Mehboob  Beg,21,5
211,Shri  Babu Lal  Marandi,5,21
210,Shri  Badruddin  Ajmal,13,13
208,Shri  Somendranath  Mitra,13,13
207,Shri    Abdul Rahman,24,2
206,Shri  R.  Thamaraiselvan,23,3
205,Shri  Sadashivrao Dadoba  Mandlik,9,17
204,Shri  Hassan  Khan,24,2
203,Dr.  Raghuvansh Prasad  Singh,25,1
202,Shri  Sansuma Khunggur  Bwiswmuthiary,20,6
201,Shri  Asaduddin  Owaisi,14,12
200,Dr.  Sanjeev Ganesh  Naik,26,0
199,Shri    Adhi Sankar,15,11
198,Shri  E.G.  Sugavanam,18,8
197,Shri  A.K.S.  Vijayan,16,10
196,Shri  Kalyan  Banerjee,20,6
195,Shri  D.  Venugopal,16,10
194,Shri  Sameer  Bhujbal,24,2
193,Shri   Udayanraje  Bhonsle,16,10
192,Smt.  Supriya  Sule,22,4
191,Shri  Sudip  Bandyopadhyay,26,0
190,Shri  T.K.S.  Elangovan,26,0
189,Shri  Shibu  Soren,15,11
188,Shri    Lalu Prasad,23,3
187,Shri  Dara Singh  Chauhan,22,4
186,Shri  K. P.  Dhanapalan,26,0
185,Shri  M. K.  Raghavan,20,6
183,Shri  K.  Sudhakaran,18,8
182,Shri  R.  Dhruvanarayana,21,5
181,Shri  Adagooru  Vishwanath,7,19
180,Shri  Jagdish  Thakor,19,7
179,Shri  Mukeshkumar  Bheiravdanji  Gadhvi,22,4
178,Shri  Suresh Kumar  Shetkar,21,5
177,Dr.  G.  Vivekanand,19,7
176,Shri   Vitthalbhai  Harnsrajbhai   Radadiya,4,22
175,Shri  Kuvarjibhai Mohanbhai  Bavalia,13,13
174,Shri  Basori Singh  Masram,25,1
173,Shri  S.  Alagiri,10,16
172,Shri  Abdul Mannan  Hossain,10,16
171,Shri  Sajjan Singh  Verma,24,2
170,Shri  Prabhakar  Ponnam,26,0
169,Shri  Manicka  Tagore,26,0
168,Shri  Devendra  Nagpal,17,9
167,Dr.  Jyoti  Mirdha,25,1
166,Smt.  Meenakshi  Natrajan,23,3
165,Smt.  Annu  Tandon,26,0
164,Smt.  Sarika  D.S. Baghel,26,0
163,Ms.  Mausam  Noor,22,4
162,Smt.  Rajesh Nandini  Singh,25,1
161,Dr.  Prabha Kishore  Taviad,26,0
160,Smt.  Shruti  Choudhry,25,1
158,Dr.  Nirmal  Khatri,25,1
157,Shri  M.  Krishnaswamy,22,4
156,Dr.  Thokchom  Meinya,26,0
155,Shri  Eknath  Gaikwad,26,0
154,Shri  Kishan V.  Patel,22,4
153,Shri    Bapiraju  Kanumuru,26,0
152,Smt.  Ingrid  Mcleod,24,2
151,Smt.    Botcha Jhansi Lakshmi,26,0
150,Shri    Lagadapati   Rajagopal,24,2
14,Shri  Paban Singh  Ghatowar,25,1
149,Shri  Vikrambhai Arjanbhai  Maadam    Ahir,18,8
148,Shri  Lalit  Mohan  Suklabaidya,25,1
147,Shri  S.P.Y.  Reddy,9,17
146,Shri  Aruna Kumar  Vundavalli,26,0
145,Shri  G.V.  Harsha Kumar,18,8
144,Shri  Gutha  Sukender Reddy,21,5
143,Shri  Anjan Kumar  Yadav. M,14,12
142,Shri  Sanjay Singh  Chauhan,24,2
141,Shri  Gajendra Singh  Rajukhedi,24,2
140,Sardar  Sukhdev  Singh    Libra,26,0
139,Smt.  Santosh  Chowdhary,25,1
138,Smt.  Priya  Dutt,14,12
137,Rajkumari  Ratna  Singh,25,1
135,Shri  Tarachand  Bhagora,15,11
134,Shri  Bhakta Charan  Das,22,4
133,Shri  Deepender Singh  Hooda,21,5
132,Shri  Bhaskarrao  Patil  Khatgaonkar,16,10
131,Shri  Jayant  Chaudhary,23,3
130,Dr.  Sanjay  Singh,26,0
129,Dr.  Arvind Kumar  Sharma,23,3
128,Shri  N.S.V.  Chitthan,22,4
127,Shri  Magunta Srinivasulu  Reddy,17,9
126,Shri  Francisco  Sardinha,26,0
124,Shri  Dip  Gogoi,19,7
123,Shri  Sanjay  Nirupam,24,2
121,Shri  Inderjit Singh  Rao,14,12
120,Dr.  Girija  Vyas,22,4
11,Shri  Ajit  Singh,13,13
119,Shri  P.C.  Chacko,21,5
118,Shri  Avtar Singh  Bhadana,14,12
117,Shri  Somabhai Gandalal Koli  Patel,24,2
116,Shri  A. Venkatarami  Reddy,22,4
115,Dr.  Manda  Jagannath,25,1
114,Shri  Raj  Babbar,15,11
113,Shri   Rayapati S.  Rao,17,9
112,Shri  Datta  Meghe,25,1
110,Shri  Jai Prakash  Agarwal,26,0
108,Dr.  Kavuri Samba Siva  Rao,18,8
107,Shri  Biren Singh  Engti,26,0
106,Dr.    Chinta Mohan,17,9
105,Shri  Gurudas  Kamat,5,21
102,Shri  Suresh  Kalmadi,3,23
101,Shri  Manikrao Hodlya  Gavit,23,3
100,Shri  Vilasrao Baburao  Muttemwar,16,10
